bare	accented	translations_en	translations_de	comparative	superlative	short_m	short_f	short_n	short_pl	decl_m_nom	decl_m_gen	decl_m_dat	decl_m_acc	decl_m_inst	decl_m_prep	decl_f_nom	decl_f_gen	decl_f_dat	decl_f_acc	decl_f_inst	decl_f_prep	decl_n_nom	decl_n_gen	decl_n_dat	decl_n_acc	decl_n_inst	decl_n_prep	decl_pl_nom	decl_pl_gen	decl_pl_dat	decl_pl_acc	decl_pl_inst	decl_pl_prep
непреходящий	непреходя'щий		unvergänglich, bleibend, ewig			непреходя'щ	непреходя'ща	непреходя'ще	непреходя'щи	непреходя'щий	непреходя'щего	непреходя'щему	непреходя'щий,непреходя'щего	непреходя'щим	непреходя'щем	непреходя'щая	непреходя'щей	непреходя'щей	непреходя'щую	непреходя'щей, непреходя'щею	непреходя'щей	непреходя'щее	непреходя'щего	непреходя'щему	непреходя'щее	непреходя'щим	непреходя'щем	непреходя'щие	непреходя'щих	непреходя'щим	непреходя'щие,непреходя'щих	непреходя'щими	непреходя'щих
правомерный	правоме'рный	rightful, lawful	berechtigt			правоме'рен	правоме'рна	правоме'рно	правоме'рны	правоме'рный	правоме'рного	правоме'рному	правоме'рный,правоме'рного	правоме'рным	правоме'рном	правоме'рная	правоме'рной	правоме'рной	правоме'рную	правоме'рной, правоме'рною	правоме'рной	правоме'рное	правоме'рного	правоме'рному	правоме'рное	правоме'рным	правоме'рном	правоме'рные	правоме'рных	правоме'рным	правоме'рные,правоме'рных	правоме'рными	правоме'рных
малоподвижный	малоподви'жный	not mobile	unbeweglich, träge, starr			ма`лоподви'жен	ма`лоподви'жна	ма`лоподви'жно	ма`лоподви'жны	малоподви'жный	малоподви'жного	малоподви'жному	малоподви'жный,малоподви'жного	малоподви'жным	малоподви'жном	малоподви'жная	малоподви'жной	малоподви'жной	малоподви'жную	малоподви'жной, малоподви'жною	малоподви'жной	малоподви'жное	малоподви'жного	малоподви'жному	малоподви'жное	малоподви'жным	малоподви'жном	малоподви'жные	малоподви'жных	малоподви'жным	малоподви'жные,малоподви'жных	малоподви'жными	малоподви'жных
рачительный	рачи'тельный	zealous	bemüht, eifrig, rührig, strebsam			рачи'телен	рачи'тельна	рачи'тельно	рачи'тельны	рачи'тельный	рачи'тельного	рачи'тельному	рачи'тельный,рачи'тельного	рачи'тельным	рачи'тельном	рачи'тельная	рачи'тельной	рачи'тельной	рачи'тельную	рачи'тельной, рачи'тельною	рачи'тельной	рачи'тельное	рачи'тельного	рачи'тельному	рачи'тельное	рачи'тельным	рачи'тельном	рачи'тельные	рачи'тельных	рачи'тельным	рачи'тельные,рачи'тельных	рачи'тельными	рачи'тельных
посевной	посевно'й	sowing	Saat-							посевно'й	посевно'го	посевно'му	посевно'й	посевны'м	посевно'м	посевна'я	посевно'й	посевно'й	посевну'ю	посевно'й	посевно'й	посевно'е	посевно'го	посевно'му	посевно'е	посевны'м	посевно'м	посевны'е	посевны'х	посевны'м	посевны'е	посевны'ми	посевны'х
пихтовый	пи'хтовый	fir, silver fir	Tannen-			пи'хтов	пи'хтова	пи'хтово	пи'хтовы	пи'хтовый	пи'хтового	пи'хтовому	пи'хтовый,пи'хтового	пи'хтовым	пи'хтовом	пи'хтовая	пи'хтовой	пи'хтовой	пи'хтовую	пи'хтовой, пи'хтовою	пи'хтовой	пи'хтовое	пи'хтового	пи'хтовому	пи'хтовое	пи'хтовым	пи'хтовом	пи'хтовые	пи'хтовых	пи'хтовым	пи'хтовые,пи'хтовых	пи'хтовыми	пи'хтовых
хлопчатобумажный	хлопчатобума'жный	cotton	Baumwoll-, baumwollen			хлопча`тобума'жен	хлопча`тобума'жна	хлопча`тобума'жно	хлопча`тобума'жны	хлопчатобума'жный	хлопчатобума'жного	хлопчатобума'жному	хлопчатобума'жный,хлопчатобума'жного	хлопчатобума'жным	хлопчатобума'жном	хлопчатобума'жная	хлопчатобума'жной	хлопчатобума'жной	хлопчатобума'жную	хлопчатобума'жной, хлопчатобума'жною	хлопчатобума'жной	хлопчатобума'жное	хлопчатобума'жного	хлопчатобума'жному	хлопчатобума'жное	хлопчатобума'жным	хлопчатобума'жном	хлопчатобума'жные	хлопчатобума'жных	хлопчатобума'жным	хлопчатобума'жные,хлопчатобума'жных	хлопчатобума'жными	хлопчатобума'жных
широкогрудый	широкогру'дый	broad-chested	breitbrüstig, vollbusig			широкогру'д	широкогру'да	широкогру'до	широкогру'ды	широкогру'дый	широкогру'дого	широкогру'дому	широкогру'дый,широкогру'дого	широкогру'дым	широкогру'дом	широкогру'дая	широкогру'дой	широкогру'дой	широкогру'дую	широкогру'дой, широкогру'дою	широкогру'дой	широкогру'дое	широкогру'дого	широкогру'дому	широкогру'дое	широкогру'дым	широкогру'дом	широкогру'дые	широкогру'дых	широкогру'дым	широкогру'дые,широкогру'дых	широкогру'дыми	широкогру'дых
ножевой	ножево'й	Adjective of нож	Messer-							ножево'й	ножево'го	ножево'му	ножево'й	ножевы'м	ножево'м	ножева'я	ножево'й	ножево'й	ножеву'ю	ножево'й	ножево'й	ножево'е	ножево'го	ножево'му	ножево'е	ножевы'м	ножево'м	ножевы'е	ножевы'х	ножевы'м	ножевы'е	ножевы'ми	ножевы'х
многоступенчатый	многоступе'нчатый	multi-stage, multi-step	mehrstufig			многоступе'нчат	многоступе'нчата	многоступе'нчато	многоступе'нчаты	многоступе'нчатый	многоступе'нчатого	многоступе'нчатому	многоступе'нчатый,многоступе'нчатого	многоступе'нчатым	многоступе'нчатом	многоступе'нчатая	многоступе'нчатой	многоступе'нчатой	многоступе'нчатую	многоступе'нчатой, многоступе'нчатою	многоступе'нчатой	многоступе'нчатое	многоступе'нчатого	многоступе'нчатому	многоступе'нчатое	многоступе'нчатым	многоступе'нчатом	многоступе'нчатые	многоступе'нчатых	многоступе'нчатым	многоступе'нчатые,многоступе'нчатых	многоступе'нчатыми	многоступе'нчатых
чванливый	чванли'вый	swaggering, self-conceited, swanky	blasierte, arrogant, hochmütig			чванли'в	чванли'ва	чванли'во	чванли'вы	чванли'вый	чванли'вого	чванли'вому	чванли'вый,чванли'вого	чванли'вым	чванли'вом	чванли'вая	чванли'вой	чванли'вой	чванли'вую	чванли'вой,(чванли'вою)	чванли'вой	чванли'вое	чванли'вого	чванли'вому	чванли'вое	чванли'вым	чванли'вом	чванли'вые	чванли'вых	чванли'вым	чванли'вые,чванли'вых	чванли'выми	чванли'вых
неуважительный	неуважи'тельный	inadequate, disrespectful	nicht triftig, nicht stichhaltig			неуважи'телен	неуважи'тельна	неуважи'тельно	неуважи'тельны	неуважи'тельный	неуважи'тельного	неуважи'тельному	неуважи'тельный,неуважи'тельного	неуважи'тельным	неуважи'тельном	неуважи'тельная	неуважи'тельной	неуважи'тельной	неуважи'тельную	неуважи'тельной, неуважи'тельною	неуважи'тельной	неуважи'тельное	неуважи'тельного	неуважи'тельному	неуважи'тельное	неуважи'тельным	неуважи'тельном	неуважи'тельные	неуважи'тельных	неуважи'тельным	неуважи'тельные,неуважи'тельных	неуважи'тельными	неуважи'тельных
недокуренный	недоку'ренный		nicht aufgeraucht, nicht zu Ende geraucht																														
неощутимый	неощути'мый		kaum wahrnehmbar, unmerklich			неощути'м	неощути'ма	неощути'мо	неощути'мы	неощути'мый	неощути'мого	неощути'мому	неощути'мый,неощути'мого	неощути'мым	неощути'мом	неощути'мая	неощути'мой	неощути'мой	неощути'мую	неощути'мой, неощути'мою	неощути'мой	неощути'мое	неощути'мого	неощути'мому	неощути'мое	неощути'мым	неощути'мом	неощути'мые	неощути'мых	неощути'мым	неощути'мые,неощути'мых	неощути'мыми	неощути'мых
гипертрофированный	гипертрофи'рованный	hypertrophied	hypertrophiert, übermäßig vergrößert																														
двухсотый	двухсо'тый	two-hundredth	der zweihundertste							двухсо'тый	двухсо'того	двухсо'тому	двухсо'тый,двухсо'того	двухсо'тым	двухсо'том	двухсо'тая	двухсо'той	двухсо'той	двухсо'тую	двухсо'той, двухсо'тою	двухсо'той	двухсо'тое	двухсо'того	двухсо'тому	двухсо'тое	двухсо'тым	двухсо'том	двухсо'тые	двухсо'тых	двухсо'тым	двухсо'тые,двухсо'тых	двухсо'тыми	двухсо'тых
маловатый	малова'тый		ein bisschen wenig, ziemlich wenig, ein wenig zu klein			малова'т	малова'та	малова'то	малова'ты	малова'тый	малова'того	малова'тому	малова'тый	малова'тым	малова'том	малова'тая	малова'той	малова'той	малова'тую	малова'той	малова'той	малова'тое	малова'того	малова'тому	малова'тое	малова'тым	малова'том	малова'тые	малова'тых	малова'тым	малова'тые	малова'тыми	малова'тых
касательный	каса'тельный		tangential, berührend			каса'телен	каса'тельна	каса'тельно	каса'тельны	каса'тельный	каса'тельного	каса'тельному	каса'тельный,каса'тельного	каса'тельным	каса'тельном	каса'тельная	каса'тельной	каса'тельной	каса'тельную	каса'тельной, каса'тельною	каса'тельной	каса'тельное	каса'тельного	каса'тельному	каса'тельное	каса'тельным	каса'тельном	каса'тельные	каса'тельных	каса'тельным	каса'тельные,каса'тельных	каса'тельными	каса'тельных
нержавеющий	нержаве'ющий	non-rusting, non-corrosive, rust-proof, corrosion-resistant	rostfrei			нержаве'ющ	нержаве'юща	нержаве'юще	нержаве'ющи	нержаве'ющий	нержаве'ющего	нержаве'ющему	нержаве'ющий,нержаве'ющего	нержаве'ющим	нержаве'ющем	нержаве'ющая	нержаве'ющей	нержаве'ющей	нержаве'ющую	нержаве'ющей, нержаве'ющею	нержаве'ющей	нержаве'ющее	нержаве'ющего	нержаве'ющему	нержаве'ющее	нержаве'ющим	нержаве'ющем	нержаве'ющие	нержаве'ющих	нержаве'ющим	нержаве'ющие,нержаве'ющих	нержаве'ющими	нержаве'ющих
общеобразовательный	общеобразова'тельный	of general education	allgemeinbildend																														
резонный	резо'нный	reasonable	vernünftig, verständig, sinnvoll, begründet			резо'нен	резо'нна	резо'нно	резо'нны	резо'нный	резо'нного	резо'нному	резо'нный,резо'нного	резо'нным	резо'нном	резо'нная	резо'нной	резо'нной	резо'нную	резо'нной, резо'нною	резо'нной	резо'нное	резо'нного	резо'нному	резо'нное	резо'нным	резо'нном	резо'нные	резо'нных	резо'нным	резо'нные,резо'нных	резо'нными	резо'нных
слоёный	слоёный	puff, flaky	Blätterteig-, geschichtet, Schicht-			слоён	слоёна	слоёно	слоёны	слоёный	слоёного	слоёному	слоёный,слоёного	слоёным	слоёном	слоёная	слоёной	слоёной	слоёную	слоёной, слоёною	слоёной	слоёное	слоёного	слоёному	слоёное	слоёным	слоёном	слоёные	слоёных	слоёным	слоёные,слоёных	слоёными	слоёных
чернорабочий	чернорабо'чий	unskilled labourer	Hilfsarbeiter, ungelernter Arbeiter			чернорабо'ч	чернорабо'ча	чернорабо'че	чернорабо'чи	чернорабо'чий	чернорабо'чего	чернорабо'чему	чернорабо'чий,чернорабо'чего	чернорабо'чим	чернорабо'чем	чернорабо'чая	чернорабо'чей	чернорабо'чей	чернорабо'чую	чернорабо'чей, чернорабо'чею	чернорабо'чей	чернорабо'чее	чернорабо'чего	чернорабо'чему	чернорабо'чее	чернорабо'чим	чернорабо'чем	чернорабо'чие	чернорабо'чих	чернорабо'чим	чернорабо'чие,чернорабо'чих	чернорабо'чими	чернорабо'чих
малозаметный	малозаме'тный	hardly out of the ordinary, undistinguished	unauffällig			ма`лозаме'тен	ма`лозаме'тна	ма`лозаме'тно	ма`лозаме'тны	малозаме'тный	малозаме'тного	малозаме'тному	малозаме'тный,малозаме'тного	малозаме'тным	малозаме'тном	малозаме'тная	малозаме'тной	малозаме'тной	малозаме'тную	малозаме'тной, малозаме'тною	малозаме'тной	малозаме'тное	малозаме'тного	малозаме'тному	малозаме'тное	малозаме'тным	малозаме'тном	малозаме'тные	малозаме'тных	малозаме'тным	малозаме'тные,малозаме'тных	малозаме'тными	малозаме'тных
послеобеденный	послеобе'денный	after-dinner	Nachmittags-			*послеобе'денен	послеобе'денна	послеобе'денно	послеобе'денны	послеобе'денный	послеобе'денного	послеобе'денному	послеобе'денный,послеобе'денного	послеобе'денным	послеобе'денном	послеобе'денная	послеобе'денной	послеобе'денной	послеобе'денную	послеобе'денной, послеобе'денною	послеобе'денной	послеобе'денное	послеобе'денного	послеобе'денному	послеобе'денное	послеобе'денным	послеобе'денном	послеобе'денные	послеобе'денных	послеобе'денным	послеобе'денные,послеобе'денных	послеобе'денными	послеобе'денных
небезынтересный	небезынтере'сный	not without interest	nicht uninteressant			небезынтере'сен	небезынтере'сна	небезынтере'сно	небезынтере'сны	небезынтере'сный	небезынтере'сного	небезынтере'сному	небезынтере'сный,небезынтере'сного	небезынтере'сным	небезынтере'сном	небезынтере'сная	небезынтере'сной	небезынтере'сной	небезынтере'сную	небезынтере'сной, небезынтере'сною	небезынтере'сной	небезынтере'сное	небезынтере'сного	небезынтере'сному	небезынтере'сное	небезынтере'сным	небезынтере'сном	небезынтере'сные	небезынтере'сных	небезынтере'сным	небезынтере'сные,небезынтере'сных	небезынтере'сными	небезынтере'сных
соболиный	соболи'ный	sable	Zobel-			соболи'н	соболи'на	соболи'но	соболи'ны	соболи'ный	соболи'ного	соболи'ному	соболи'ный,соболи'ного	соболи'ным	соболи'ном	соболи'ная	соболи'ной	соболи'ной	соболи'ную	соболи'ной, соболи'ною	соболи'ной	соболи'ное	соболи'ного	соболи'ному	соболи'ное	соболи'ным	соболи'ном	соболи'ные	соболи'ных	соболи'ным	соболи'ные,соболи'ных	соболи'ными	соболи'ных
седельный	седе'льный	Adjective of седло	Sattel-			седе'лен	седе'льна	седе'льно	седе'льны	седе'льный	седе'льного	седе'льному	седе'льный,седе'льного	седе'льным	седе'льном	седе'льная	седе'льной	седе'льной	седе'льную	седе'льной, седе'льною	седе'льной	седе'льное	седе'льного	седе'льному	седе'льное	седе'льным	седе'льном	седе'льные	седе'льных	седе'льным	седе'льные,седе'льных	седе'льными	седе'льных
свинский	сви'нский	swinish	versaut, schweinisch			*сви'нск	*сви'нска	*сви'нско	сви'нски	сви'нский	сви'нского	сви'нскому	сви'нский,сви'нского	сви'нским	сви'нском	сви'нская	сви'нской	сви'нской	сви'нскую	сви'нской, сви'нскою	сви'нской	сви'нское	сви'нского	сви'нскому	сви'нское	сви'нским	сви'нском	сви'нские	сви'нских	сви'нским	сви'нские,сви'нских	сви'нскими	сви'нских
увечный	уве'чный	maimed, mutilated, disabled, cripple	verkrüppelt, verstümmelt			уве'чен	уве'чна	уве'чно	уве'чны	уве'чный	уве'чного	уве'чному	уве'чного,уве'чный	уве'чным	уве'чном	уве'чная	уве'чной	уве'чной	уве'чную	уве'чной,уве'чною	уве'чной	уве'чное	уве'чного	уве'чному	уве'чное	уве'чным	уве'чном	уве'чные	уве'чных	уве'чным	уве'чных,уве'чные	уве'чными	уве'чных
высоковольтный	высоково'льтный	high-voltage	Hochspannungs-			высоково'льтен	высоково'льтна	высоково'льтно	высоково'льтны	высоково'льтный	высоково'льтного	высоково'льтному	высоково'льтный,высоково'льтного	высоково'льтным	высоково'льтном	высоково'льтная	высоково'льтной	высоково'льтной	высоково'льтную	высоково'льтной, высоково'льтною	высоково'льтной	высоково'льтное	высоково'льтного	высоково'льтному	высоково'льтное	высоково'льтным	высоково'льтном	высоково'льтные	высоково'льтных	высоково'льтным	высоково'льтные,высоково'льтных	высоково'льтными	высоково'льтных
громоподобный	громоподо'бный	thunderous, thundering	donnerähnlich, donnernd, donnergleich			громоподо'бен	громоподо'бна	громоподо'бно	громоподо'бны	громоподо'бный	громоподо'бного	громоподо'бному	громоподо'бный,громоподо'бного	громоподо'бным	громоподо'бном	громоподо'бная	громоподо'бной	громоподо'бной	громоподо'бную	громоподо'бной, громоподо'бною	громоподо'бной	громоподо'бное	громоподо'бного	громоподо'бному	громоподо'бное	громоподо'бным	громоподо'бном	громоподо'бные	громоподо'бных	громоподо'бным	громоподо'бные,громоподо'бных	громоподо'бными	громоподо'бных
солнцевский	со'лнцевский		auf Solnzewaja bezogen																														
корневой	корнево'й	Adjective of корень	Wurzel-, Stamm-							корнево'й	корнево'го	корнево'му	корнево'й	корнево'е	корнево'м	корнева'я	корнево'й	корнево'й	корневу'ю	корнево'й	корнево'й	корнево'е	корнево'го	корнево'му	корнево'е	корнево'е	корнево'м	корневы'е	корневы'х	корневы'м	корневы'е	корневы'ми	корневы'х
проверочный	прове'рочный	validated, checked	Kontroll-, Überprüfungs-			прове'рочен	прове'рочна	прове'рочно	прове'рочны	прове'рочный	прове'рочного	прове'рочному	прове'рочный,прове'рочного	прове'рочным	прове'рочном	прове'рочная	прове'рочной	прове'рочной	прове'рочную	прове'рочной, прове'рочною	прове'рочной	прове'рочное	прове'рочного	прове'рочному	прове'рочное	прове'рочным	прове'рочном	прове'рочные	прове'рочных	прове'рочным	прове'рочные,прове'рочных	прове'рочными	прове'рочных
невозвратимый	невозврати'мый	irrevocable	unwiderruflich			невозврати'м	невозврати'ма	невозврати'мо	невозврати'мы	невозврати'мый	невозврати'мого	невозврати'мому	невозврати'мый,невозврати'мого	невозврати'мым	невозврати'мом	невозврати'мая	невозврати'мой	невозврати'мой	невозврати'мую	невозврати'мой, невозврати'мою	невозврати'мой	невозврати'мое	невозврати'мого	невозврати'мому	невозврати'мое	невозврати'мым	невозврати'мом	невозврати'мые	невозврати'мых	невозврати'мым	невозврати'мые,невозврати'мых	невозврати'мыми	невозврати'мых
общегородской	общегородской	city	gesamtstaatlich, Landes-, den gesamten Staat betreffend, das ganze Land betreffend, staatlich, Staats-																														
мужичий	мужи'чий		Bauern-							мужи'чий	мужи'чьего	мужи'чьему	мужи'чий,мужи'чьего	мужи'чьим	мужи'чьем	мужи'чья	мужи'чьей	мужи'чьей	мужи'чью	мужи'чьей, мужи'чьею	мужи'чьей	мужи'чье	мужи'чьего	мужи'чьему	мужи'чье	мужи'чьим	мужи'чьем	мужи'чьи	мужи'чьих	мужи'чьим	мужи'чьи,мужи'чьих	мужи'чьими	мужи'чьих
своевольный	своево'льный	self-willed, wilful	eigenwillig, starrsinnig, eigenmächtig, willkürlich			своево'лен	своево'льна	своево'льно	своево'льны	своево'льный	своево'льного	своево'льному	своево'льный,своево'льного	своево'льным	своево'льном	своево'льная	своево'льной	своево'льной	своево'льную	своево'льной, своево'льною	своево'льной	своево'льное	своево'льного	своево'льному	своево'льное	своево'льным	своево'льном	своево'льные	своево'льных	своево'льным	своево'льные,своево'льных	своево'льными	своево'льных
кровельный	кро'вельный	roofing	Dach-, Dachhaut-			кро'велен	кро'вельна	кро'вельно	кро'вельны	кро'вельный	кро'вельного	кро'вельному	кро'вельный,кро'вельного	кро'вельным	кро'вельном	кро'вельная	кро'вельной	кро'вельной	кро'вельную	кро'вельной, кро'вельною	кро'вельной	кро'вельное	кро'вельного	кро'вельному	кро'вельное	кро'вельным	кро'вельном	кро'вельные	кро'вельных	кро'вельным	кро'вельные,кро'вельных	кро'вельными	кро'вельных
полтавский	полта'вский		Poltawa-, aus / von Poltawa, auf Poltawa bezogen																														
сверлильный	сверли'льный	drilling	Bohr-			сверли'лен	сверли'льна	сверли'льно	сверли'льны	сверли'льный	сверли'льного	сверли'льному	сверли'льный,сверли'льного	сверли'льным	сверли'льном	сверли'льная	сверли'льной	сверли'льной	сверли'льную	сверли'льной, сверли'льною	сверли'льной	сверли'льное	сверли'льного	сверли'льному	сверли'льное	сверли'льным	сверли'льном	сверли'льные	сверли'льных	сверли'льным	сверли'льные,сверли'льных	сверли'льными	сверли'льных
мшистый	мши'стый	mossy, moss-grown	moosig, bemoost			мши'ст	мши'ста	мши'сто	мши'сты	мши'стый	мши'стого	мши'стому	мши'стый,мши'стого	мши'стым	мши'стом	мши'стая	мши'стой	мши'стой	мши'стую	мши'стой, мши'стою	мши'стой	мши'стое	мши'стого	мши'стому	мши'стое	мши'стым	мши'стом	мши'стые	мши'стых	мши'стым	мши'стые,мши'стых	мши'стыми	мши'стых
эфемерный	эфеме'рный	ephemeral	ephemer, ephemerisch, kurzlebig; illusionär																														
наболевший	наболе'вший	sore, painful	akut, schmerzhaft, wund, empfindlich			*наболе'вш	*наболе'вша	*наболе'вше	наболе'вши	наболе'вший	наболе'вшего	наболе'вшему	наболе'вший,наболе'вшего	наболе'вшим	наболе'вшем	наболе'вшая	наболе'вшей	наболе'вшей	наболе'вшую	наболе'вшей, наболе'вшею	наболе'вшей	наболе'вшее	наболе'вшего	наболе'вшему	наболе'вшее	наболе'вшим	наболе'вшем	наболе'вшие	наболе'вших	наболе'вшим	наболе'вшие,наболе'вших	наболе'вшими	наболе'вших
определимый	определи'мый	definable	bestimmbar			определи'м	определи'ма	определи'мо	определи'мы	определи'мый	определи'мого	определи'мому	определи'мый,определи'мого	определи'мым	определи'мом	определи'мая	определи'мой	определи'мой	определи'мую	определи'мой, определи'мою	определи'мой	определи'мое	определи'мого	определи'мому	определи'мое	определи'мым	определи'мом	определи'мые	определи'мых	определи'мым	определи'мые,определи'мых	определи'мыми	определи'мых
транснациональный	транснациона'льный		transnational							транснациона'льный	транснациона'льного	транснациона'льному	транснациона'льный	транснациона'льным	транснациона'льном	транснациона'льная	транснациона'льной	транснациона'льной	транснациона'льную	транснациона'льной	транснациона'льной	транснациона'льное	транснациона'льного	транснациона'льному	транснациона'льное	транснациона'льным	транснациона'льном	транснациона'льные	транснациона'льных	транснациона'льным	транснациона'льные	транснациона'льными	транснациона'льных
узкоплечий	узкопле'чий		schmalschultrig			узкопле'ч	узкопле'ча	узкопле'че	узкопле'чи	узкопле'чий	узкопле'чего	узкопле'чему	узкопле'чий,узкопле'чего	узкопле'чим	узкопле'чем	узкопле'чая	узкопле'чей	узкопле'чей	узкопле'чую	узкопле'чей, узкопле'чею	узкопле'чей	узкопле'чее	узкопле'чего	узкопле'чему	узкопле'чее	узкопле'чим	узкопле'чем	узкопле'чие	узкопле'чих	узкопле'чим	узкопле'чие,узкопле'чих	узкопле'чими	узкопле'чих
обличительный	обличи'тельный	revealing, damning	entlarvend, anklagend, beschuldigend			обличи'телен	обличи'тельна	обличи'тельно	обличи'тельны	обличи'тельный	обличи'тельного	обличи'тельному	обличи'тельный,обличи'тельного	обличи'тельным	обличи'тельном	обличи'тельная	обличи'тельной	обличи'тельной	обличи'тельную	обличи'тельной, обличи'тельною	обличи'тельной	обличи'тельное	обличи'тельного	обличи'тельному	обличи'тельное	обличи'тельным	обличи'тельном	обличи'тельные	обличи'тельных	обличи'тельным	обличи'тельные,обличи'тельных	обличи'тельными	обличи'тельных
тёщин	тёщин		Schwiegermutter-							тёщин	тёщина//тещиного	тёщину//тещиному	тёщин,тёщина//тещиного	тёщиным	тёщином	тёщина	тёщиной	тёщиной	тёщину	тёщиной, тёщиною	тёщиной	тёщино	тёщина//тещиного	тёщину	тёщино	тёщиным	тёщином	тёщины	тёщиных	тёщиным	тёщины,тёщиных	тёщиными	тёщиных
крадущийся	кра'дущийся		sich anschleichend			*кра'дущся	*кра'дущася	*кра'дущеся	кра'дущися	кра'дущийся	кра'дущегося	кра'дущемуся	кра'дущийся,кра'дущегося	кра'дущимся	кра'дущемся	кра'дущаяся	кра'дущейся	кра'дущейся	кра'дущуюся	кра'дущейся, кра'дущеюся	кра'дущейся	кра'дущееся	кра'дущегося	кра'дущемуся	кра'дущееся	кра'дущимся	кра'дущемся	кра'дущиеся	кра'дущихся	кра'дущимся	кра'дущиеся,кра'дущихся	кра'дущимися	кра'дущихся
смягчённый	смягчённый		erweicht, Weich-			смягчён	смягчённа	смягчённо	смягчённы	смягчённый	смягчённого	смягчённому	смягчённый,смягчённого	смягчённым	смягчённом	смягчённая	смягчённой	смягчённой	смягчённую	смягчённой, смягчённою	смягчённой	смягчённое	смягчённого	смягчённому	смягчённое	смягчённым	смягчённом	смягчённые	смягчённых	смягчённым	смягчённые,смягчённых	смягчёнными	смягчённых
всепоглощающий	всепоглоща'ющий	all-absorbing	dominat, verzehrend, verschlingend			всепоглоща'ющ	всепоглоща'юща	всепоглоща'юще	всепоглоща'ющи	всепоглоща'ющий	всепоглоща'ющего	всепоглоща'ющему	всепоглоща'ющий,всепоглоща'ющего	всепоглоща'ющим	всепоглоща'ющем	всепоглоща'ющая	всепоглоща'ющей	всепоглоща'ющей	всепоглоща'ющую	всепоглоща'ющей, всепоглоща'ющею	всепоглоща'ющей	всепоглоща'ющее	всепоглоща'ющего	всепоглоща'ющему	всепоглоща'ющее	всепоглоща'ющим	всепоглоща'ющем	всепоглоща'ющие	всепоглоща'ющих	всепоглоща'ющим	всепоглоща'ющие,всепоглоща'ющих	всепоглоща'ющими	всепоглоща'ющих
самоварный	самова'рный	Samovar - A metal container used to heat and boil water	Samowar-			самова'рен	самова'рна	самова'рно	самова'рны	самова'рный	самова'рного	самова'рному	самова'рный,самова'рного	самова'рным	самова'рном	самова'рная	самова'рной	самова'рной	самова'рную	самова'рной, самова'рною	самова'рной	самова'рное	самова'рного	самова'рному	самова'рное	самова'рным	самова'рном	самова'рные	самова'рных	самова'рным	самова'рные,самова'рных	самова'рными	самова'рных
домовитый	домови'тый	thrifty, housewifely	häuslich			домови'т	домови'та	домови'то	домови'ты	домови'тый	домови'того	домови'тому	домови'тый,домови'того	домови'тым	домови'том	домови'тая	домови'той	домови'той	домови'тую	домови'той, домови'тою	домови'той	домови'тое	домови'того	домови'тому	домови'тое	домови'тым	домови'том	домови'тые	домови'тых	домови'тым	домови'тые,домови'тых	домови'тыми	домови'тых
велюровый	велю'ровый	Adjective of велюр	Samt-			велю'ров	велю'рова	велю'рово	велю'ровы	велю'ровый	велю'рового	велю'ровому	велю'ровый,велю'рового	велю'ровым	велю'ровом	велю'ровая	велю'ровой	велю'ровой	велю'ровую	велю'ровой, велю'ровою	велю'ровой	велю'ровое	велю'рового	велю'ровому	велю'ровое	велю'ровым	велю'ровом	велю'ровые	велю'ровых	велю'ровым	велю'ровые,велю'ровых	велю'ровыми	велю'ровых
черепаший	черепа'ший	Adjective of черепаха	Schildkröten-							черепа'ший	черепа'шьего	черепа'шьему	черепа'ший,черепа'шьего	черепа'шьим	черепа'шьем	черепа'шья	черепа'шьей	черепа'шьей	черепа'шью	черепа'шьей, черепа'шьею	черепа'шьей	черепа'шье	черепа'шьего	черепа'шьему	черепа'шье	черепа'шьим	черепа'шьем	черепа'шьи	черепа'шьих	черепа'шьим	черепа'шьи,черепа'шьих	черепа'шьими	черепа'шьих
любезнейший	любе'знейший		sehr lieb			*любе'знейш	*любе'знейша	*любе'знейше	любе'знейши	любе'знейший	любе'знейшего	любе'знейшему	любе'знейший,любе'знейшего	любе'знейшим	любе'знейшем	любе'знейшая	любе'знейшей	любе'знейшей	любе'знейшую	любе'знейшей, любе'знейшею	любе'знейшей	любе'знейшее	любе'знейшего	любе'знейшему	любе'знейшее	любе'знейшим	любе'знейшем	любе'знейшие	любе'знейших	любе'знейшим	любе'знейшие,любе'знейших	любе'знейшими	любе'знейших
жестковатый	жесткова'тый		relativ hart			жесткова'т	жесткова'та	жесткова'то	жесткова'ты	жесткова'тый	жесткова'того	жесткова'тому	жесткова'тый,жесткова'того	жесткова'тым	жесткова'том	жесткова'тая	жесткова'той	жесткова'той	жесткова'тую	жесткова'той, жесткова'тою	жесткова'той	жесткова'тое	жесткова'того	жесткова'тому	жесткова'тое	жесткова'тым	жесткова'том	жесткова'тые	жесткова'тых	жесткова'тым	жесткова'тые,жесткова'тых	жесткова'тыми	жесткова'тых
пеньковый	пенько'вый	hempen	Hanf-			пенько'в	пенько'ва	пенько'во	пенько'вы	пенько'вый	пенько'вого	пенько'вому	пенько'вый,пенько'вого	пенько'вым	пенько'вом	пенько'вая	пенько'вой	пенько'вой	пенько'вую	пенько'вой, пенько'вою	пенько'вой	пенько'вое	пенько'вого	пенько'вому	пенько'вое	пенько'вым	пенько'вом	пенько'вые	пенько'вых	пенько'вым	пенько'вые,пенько'вых	пенько'выми	пенько'вых
