bare	accented	translations_en	translations_de	comparative	superlative	short_m	short_f	short_n	short_pl	decl_m_nom	decl_m_gen	decl_m_dat	decl_m_acc	decl_m_inst	decl_m_prep	decl_f_nom	decl_f_gen	decl_f_dat	decl_f_acc	decl_f_inst	decl_f_prep	decl_n_nom	decl_n_gen	decl_n_dat	decl_n_acc	decl_n_inst	decl_n_prep	decl_pl_nom	decl_pl_gen	decl_pl_dat	decl_pl_acc	decl_pl_inst	decl_pl_prep
ромбовидный	ромбови'дный	diamond-shaped	rautenförmig, rhombusförmig			ромбови'ден	ромбови'дна	ромбови'дно	ромбови'дны	ромбови'дный	ромбови'дного	ромбови'дному	ромбови'дный,ромбови'дного	ромбови'дным	ромбови'дном	ромбови'дная	ромбови'дной	ромбови'дной	ромбови'дную	ромбови'дной, ромбови'дною	ромбови'дной	ромбови'дное	ромбови'дного	ромбови'дному	ромбови'дное	ромбови'дным	ромбови'дном	ромбови'дные	ромбови'дных	ромбови'дным	ромбови'дные,ромбови'дных	ромбови'дными	ромбови'дных
ромбоидальный	ромбоида'льный	rhomboidal	rhomboid			ромбоида'лен	ромбоида'льна	ромбоида'льно	ромбоида'льны	ромбоида'льный	ромбоида'льного	ромбоида'льному	ромбоида'льный,ромбоида'льного	ромбоида'льным	ромбоида'льном	ромбоида'льная	ромбоида'льной	ромбоида'льной	ромбоида'льную	ромбоида'льной, ромбоида'льною	ромбоида'льной	ромбоида'льное	ромбоида'льного	ромбоида'льному	ромбоида'льное	ромбоида'льным	ромбоида'льном	ромбоида'льные	ромбоида'льных	ромбоида'льным	ромбоида'льные,ромбоида'льных	ромбоида'льными	ромбоида'льных
ростовщический	ростовщи'ческий	usurious	Wucher-, Wucherer-Geldverleiher-, Geldverleih-, Halsabschneider-			*ростовщи'ческ	*ростовщи'ческа	*ростовщи'ческо	ростовщи'чески	ростовщи'ческий	ростовщи'ческого	ростовщи'ческому	ростовщи'ческий,ростовщи'ческого	ростовщи'ческим	ростовщи'ческом	ростовщи'ческая	ростовщи'ческой	ростовщи'ческой	ростовщи'ческую	ростовщи'ческой, ростовщи'ческою	ростовщи'ческой	ростовщи'ческое	ростовщи'ческого	ростовщи'ческому	ростовщи'ческое	ростовщи'ческим	ростовщи'ческом	ростовщи'ческие	ростовщи'ческих	ростовщи'ческим	ростовщи'ческие,ростовщи'ческих	ростовщи'ческими	ростовщи'ческих
ростральный	ростра'льный	rostral	rostal, Schifftsschnabel-, an der Kopfvorderseite, schnautzenwärts			ростра'лен	ростра'льна	ростра'льно	ростра'льны	ростра'льный	ростра'льного	ростра'льному	ростра'льный,ростра'льного	ростра'льным	ростра'льном	ростра'льная	ростра'льной	ростра'льной	ростра'льную	ростра'льной, ростра'льною	ростра'льной	ростра'льное	ростра'льного	ростра'льному	ростра'льное	ростра'льным	ростра'льном	ростра'льные	ростра'льных	ростра'льным	ростра'льные,ростра'льных	ростра'льными	ростра'льных
роялистский	рояли'стский	royalist	königstreu, proroyalistisch, monarchistisch, royalistisch			*рояли'стск	*рояли'стска	*рояли'стско	рояли'стски	рояли'стский	рояли'стского	рояли'стскому	рояли'стский,рояли'стского	рояли'стским	рояли'стском	рояли'стская	рояли'стской	рояли'стской	рояли'стскую	рояли'стской, рояли'стскою	рояли'стской	рояли'стское	рояли'стского	рояли'стскому	рояли'стское	рояли'стским	рояли'стском	рояли'стские	рояли'стских	рояли'стским	рояли'стские,рояли'стских	рояли'стскими	рояли'стских
рудиментарный	рудимента'рный	rudimentary	rudimentär			рудимента'рен	рудимента'рна	рудимента'рно	рудимента'рны	рудимента'рный	рудимента'рного	рудимента'рному	рудимента'рный,рудимента'рного	рудимента'рным	рудимента'рном	рудимента'рная	рудимента'рной	рудимента'рной	рудимента'рную	рудимента'рной, рудимента'рною	рудимента'рной	рудимента'рное	рудимента'рного	рудимента'рному	рудимента'рное	рудимента'рным	рудимента'рном	рудимента'рные	рудимента'рных	рудимента'рным	рудимента'рные,рудимента'рных	рудимента'рными	рудимента'рных
рудничный	рудни'чный	mine	Bergwerks-			рудни'чен	рудни'чна	рудни'чно	рудни'чны	рудни'чный	рудни'чного	рудни'чному	рудни'чный,рудни'чного	рудни'чным	рудни'чном	рудни'чная	рудни'чной	рудни'чной	рудни'чную	рудни'чной, рудни'чною	рудни'чной	рудни'чное	рудни'чного	рудни'чному	рудни'чное	рудни'чным	рудни'чном	рудни'чные	рудни'чных	рудни'чным	рудни'чные,рудни'чных	рудни'чными	рудни'чных
рудоносный	рудоно'сный	ore-bearing	erzhaltig, erzführend			рудоно'сен	рудоно'сна	рудоно'сно	рудоно'сны	рудоно'сный	рудоно'сного	рудоно'сному	рудоно'сный,рудоно'сного	рудоно'сным	рудоно'сном	рудоно'сная	рудоно'сной	рудоно'сной	рудоно'сную	рудоно'сной, рудоно'сною	рудоно'сной	рудоно'сное	рудоно'сного	рудоно'сному	рудоно'сное	рудоно'сным	рудоно'сном	рудоно'сные	рудоно'сных	рудоно'сным	рудоно'сные,рудоно'сных	рудоно'сными	рудоно'сных
рудоподъёмник	рудоподъёмник	ore lift	Erzförder-																														
рукастый	рука'стый	long-armed, efficient	geschickt, fingerfertig, einfallsreich, mit klebrigen Fingern			рука'ст	рука'ста	рука'сто	рука'сты	рука'стый	рука'стого	рука'стому	рука'стый,рука'стого	рука'стым	рука'стом	рука'стая	рука'стой	рука'стой	рука'стую	рука'стой, рука'стою	рука'стой	рука'стое	рука'стого	рука'стому	рука'стое	рука'стым	рука'стом	рука'стые	рука'стых	рука'стым	рука'стые,рука'стых	рука'стыми	рука'стых
