bare	accented	translations_en	translations_de	gender	partner	animate	indeclinable	sg_only	pl_only	sg_nom	sg_gen	sg_dat	sg_acc	sg_inst	sg_prep	pl_nom	pl_gen	pl_dat	pl_acc	pl_inst	pl_prep
улей	у'лей	hive	Bienenstock, Bienenkorb	m		0	0	0	0	у'лей	у'лья	у'лью	у'лей	у'льем	у'лье	у'льи	у'льев	у'льям	у'льи	у'льями	у'льях
станина	стани'на	bed	Bock, Gestell, Rahmen, Gehäuse, Ständer, Joch			0	0	0	0	стани'на	стани'ны	стани'не	стани'ну	стани'ной, стани'ною	стани'не	стани'ны	стани'н	стани'нам	стани'ны	стани'нами	стани'нах
испарина	испа'рина	perspiration	Schweiß			0	0	0	0	испа'рина	испа'рины	испа'рине	испа'рину	испа'риной, испа'риною	испа'рине	испа'рины	испа'рин	испа'ринам	испа'рины	испа'ринами	испа'ринах
испанец	испа'нец	Spaniard	Spanier	m	испанка	1	0	0	0	испа'нец	испа'нца	испа'нцу	испа'нца	испа'нцем	испа'нце	испа'нцы	испа'нцев	испа'нцам	испа'нцев	испа'нцами	испа'нцах
социалист	социали'ст	socialist	Sozialist	m	социалистка	1	0	0	0	социали'ст	социали'ста	социали'сту	социали'ста	социали'стом	социали'сте	социали'сты	социали'стов	социали'стам	социали'стов	социали'стами	социали'стах
пригоршня	приго'ршня	handful	Handvoll	f		0	0	0	0	при'го'ршня	при'го'ршни	при'го'ршне	при'го'ршню	при'го'ршней	при'го'ршне	при'го'ршни	при'го'ршен, при'го'ршней	при'го'ршням	при'го'ршни	при'го'ршнями	при'го'ршнях
рацион	рацио'н	ration, food allowance	Tagessatz, Tagesdosis, Verpflegung	m		0	0	0	0	рацио'н	рацио'на	рацио'ну	рацио'н	рацио'ном	рацио'не	рацио'ны	рацио'нов	рацио'нам	рацио'ны	рацио'нами	рацио'нах
отсчёт	отсчёт	counting, reading	Abzählen, Countdown	m		0	0	0	0	отсчёт	отсчёта	отсчёту	отсчёт	отсчётом	отсчёте	отсчёты	отсчётов	отсчётам	отсчёты	отсчётами	отсчётах
мвф	мвф	International Monetary Fund	IWF, Internationaler Währungsfonds																		
развилок	разви'лок	fork, furcation	Astgabel, Gabelung			0	0	0	0	разви'лок	разви'лка	разви'лку	разви'лок	разви'лком	разви'лке	разви'лки	разви'лков	разви'лкам	разви'лки	разви'лками	разви'лках
проступок	просту'пок	fault, delinquency, misdemeanour	Vergehen	m		0	0	0	0	просту'пок	просту'пка	просту'пку	просту'пок	просту'пком	просту'пке	просту'пки	просту'пков	просту'пкам	просту'пки	просту'пками	просту'пках
водочка	во'дочка		Wodka, Schnaps	f		0	0	0	0	во'дочка	во'дочки	во'дочке	во'дочку	во'дочкой	во'дочке	во'дочки	во'дочек	во'дочкам	во'дочки	во'дочками	во'дочках
опека	опе'ка	guardianship, wardship, tutelage, trusteeship, guardians, Board of guardians, care, surveillance	Vormundschaft, Bevormundung	f		0	0	0	0	опе'ка	опе'ки	опе'ке	опе'ку	опе'кой, опе'кою	опе'ке	опе'ки	опе'к	опе'кам	опе'ки	опе'ками	опе'ках
тростник	тростни'к	reed, rush	Rohr, Schilfrohr, Röhricht	m		0	0	0	0	тростни'к	тростника'	тростнику'	тростни'к	тростнико'м	тростнике'	тростники'	тростнико'в	тростника'м	тростники'	тростника'ми	тростника'х
кольчуга	кольчу'га	chain mail, chain armour, hauberk	Panzerhemd	f		0	0	0	0	кольчу'га	кольчу'ги	кольчу'ге	кольчу'гу	кольчу'гой, кольчу'гою	кольчу'ге	кольчу'ги	кольчу'г	кольчу'гам	кольчу'ги	кольчу'гами	кольчу'гах
выдох	вы'дох	exhalation	Ausatmen	m		0	0	0	0	вы'дох	вы'доха	вы'доху	вы'дох	вы'дохом	вы'дохе	вы'дохи	вы'дохов	вы'дохам	вы'дохи	вы'дохами	вы'дохах
невзгода	невзго'да	adversity	Widrigkeiten, Plage, Missgeschick, Unglück	f		0	0	0	0	невзго'да	невзго'ды	невзго'де	невзго'ду	невзго'дой, невзго'дою	невзго'де	невзго'ды	невзго'д	невзго'дам	невзго'ды	невзго'дами	невзго'дах
могилка	моги'лка		Impressum; kleines Grab	f		0	0	0	0	моги'лка	моги'лки	моги'лке	моги'лку	моги'лкой	моги'лке	моги'лки	моги'лок	моги'лкам	моги'лки	моги'лками	моги'лках
интернационал	интернациона'л	International, the International	die Internationale	m		0	0	0	0												
частокол	частоко'л	paling, palisade	Lattenzaun	m		0	0	0	0	частоко'л	частоко'ла	частоко'лу	частоко'л	частоко'лом	частоко'ле	частоко'лы	частоко'лов	частоко'лам	частоко'лы	частоко'лами	частоко'лах
Хельсинки	Хе'льсинки		Helsinki	m		0	1	0	0												
бублик	бу'блик	bagel	Kringel, Brezel	both			0	0	0	бу'блик	бу'блика	бу'блику	бу'блик	бу'бликом	бу'блике	бу'блики	бу'бликов	бу'бликам	бу'блики	бу'бликами	бу'бликах
сода	со'да	soda, household soda, washing soda	Soda	f		0	0	0	0	со'да	со'ды	со'де	со'ду	со'дой, со'дою	со'де	со'ды	со'д	со'дам	со'ды	со'дами	со'дах
коновал	конова'л	horse doctor, farrier, quack	Pferdedoktor, Pferdekurier			1	0	0	0	конова'л	конова'ла	конова'лу	конова'ла	конова'лом	конова'ле	конова'лы	конова'лов	конова'лам	конова'лов	конова'лами	конова'лах
рейх	рейх		das Reich, Hitlerdeutschland	m		0	0	0	0	рейх	ре'йха	ре'йху	ре'йха	ре'йхом	ре'йхе	ре'йхи	ре'йхов	ре'йхам	ре'йхов	ре'йхами	ре'йхах
никель	ни'кель	nickel	Nickel	m		0	0	0	0	ни'кель	ни'келя	ни'келю	ни'кель	ни'келем	ни'келе	ни'кели	ни'келей	ни'келям	ни'кели	ни'келями	ни'келях
чек	чек	cheque, check, receipt, bill	Scheck, Bankscheck, Kassenzettel, Kassenbon, Bon	m		0	0	0	0	че'к	че'ка	че'ку	че'к	че'ком	че'ке	че'ки	че'ков	че'кам	че'ки	че'ками	че'ках
родинка	ро'динка	birthmark, mole	Muttermal	f		0	0	0	0	ро'динка	ро'динки	ро'динке	ро'динку	ро'динкой, ро'динкою	ро'динке	ро'динки	ро'динок	ро'динкам	ро'динки	ро'динками	ро'динках
аз	аз	az, ABC, elements, rudiments	ich			0	0	0	0	а'з	аза'	азу'	а'з	азо'м	азе'	азы'	азо'в	аза'м	азы'	аза'ми	аза'х
абсцесс	абсце'сс	abscess	Abszess, Eiterbeule	m		0	0	0	0	абсце'сс	абсце'сса	абсце'ссу	абсце'сс	абсце'ссом	абсце'ссе	абсце'ссы	абсце'ссов	абсце'ссам	абсце'ссы	абсце'ссами	абсце'ссах
стружка	стру'жка	shaving, shavings, chips	Span, Holzwolle	f		0	0	0	0	стру'жка	стру'жки	стру'жке	стру'жку	стру'жкой, стру'жкою	стру'жке	стру'жки	стру'жек	стру'жкам	стру'жки	стру'жками	стру'жках
оговорка	огово'рка	reservation, proviso, stipulation, slip of the tongue	Vorbehalt, Klausel; Versprecher, Schnitzer	f		0	0	0	0	огово'рка	огово'рки	огово'рке	огово'рку	огово'ркой, огово'ркою	огово'рке	огово'рки	огово'рок	огово'ркам	огово'рки	огово'рками	огово'рках
пропажа	пропа'жа	loss	Verschwinden, Verlust	f		0	0	0	0	пропа'жа	пропа'жи	пропа'же	пропа'жу	пропа'жей, пропа'жею	пропа'же	пропа'жи	пропа'ж	пропа'жам	пропа'жи	пропа'жами	пропа'жах
разврат	развра'т	lechery, dissipation, depravity, debauch, debauchery	Verderbtheit, Unzüchtigkeit	m		0	0	0	0	развра'т	развра'та	развра'ту	развра'т	развра'том	развра'те	развра'ты	развра'тов	развра'там	развра'ты	развра'тами	развра'тах
чугун	чугу'н	cast iron	Roheisen, Gußeisen			0	0	1	0	чугу'н	чугуна'	чугуну'	чугу'н	чугуно'м	чугуне'						
сюртук	сюрту'к	frock-coat	Gehrock, Bratenrock, Soutane	m		0	0	0	0	сюрту'к	сюртука'	сюртуку'	сюрту'к	сюртуко'м	сюртуке'	сюртуки'	сюртуко'в	сюртука'м	сюртуки'	сюртука'ми	сюртука'х
простуда	просту'да	cold, chill	Erkältung	f		0	0	0	0	просту'да	просту'ды	просту'де	просту'ду	просту'дой, просту'дою	просту'де	просту'ды	просту'д	просту'дам	просту'ды	просту'дами	просту'дах
переработка	перерабо'тка	processing, treatment, remaking, overtime work; recycling	Verarbeitung, Umarbeitung; Überstunden, Mehrarbeit	f		0	0	0	0	перерабо'тка	перерабо'тки	перерабо'тке	перерабо'тку	перерабо'ткой, перерабо'ткою	перерабо'тке	перерабо'тки	перерабо'ток	перерабо'ткам	перерабо'тки	перерабо'тками	перерабо'тках
стажёр	стажёр	trainee; intern	Trainee; Praktikant			1	0	0	0	стажёр	стажёра	стажёру	стажёра	стажёром	стажёре	стажёры	стажёров	стажёрам	стажёров	стажёрами	стажёрах
Иран	Ира'н	Iran	der Iran	m		0	0	1	0	Ира'н	Ира'на	Ира'ну	Ира'н	Ира'ном	Ира'не						
осведомитель	осведоми'тель	informant, informer	Informant			1	0	0	0	осведоми'тель	осведоми'теля	осведоми'телю	осведоми'теля	осведоми'телем	осведоми'теле	осведоми'тели	осведоми'телей	осведоми'телям	осведоми'телей	осведоми'телями	осведоми'телях
падь	падь		Waldschlucht; Honigtau, Waldhonig			0	0	0	0	па'дь	па'ди	па'ди	па'дь	па'дью	па'ди	па'ди	па'дей	па'дям	па'ди	па'дями	па'дях
субмарина	субмари'на		U-Boot			0	0	0	0	субмари'на	субмари'ны	субмари'не	субмари'ну	субмари'ной, субмари'ною	субмари'не	субмари'ны	субмари'н	субмари'нам	субмари'ны	субмари'нами	субмари'нах
ночёвка	ночёвка		Übernachten	f		0	0	0	0	ночёвка	ночёвки	ночёвке	ночёвку	ночёвкой, ночёвкою	ночёвке	ночёвки	ночёвок	ночёвкам	ночёвки	ночёвками	ночёвках
кальций	ка'льций	calcium	Kalzium	m		0	0	0	0	ка'льций	ка'льция	ка'льцию	ка'льций	ка'льцием	ка'льции	ка'льции	ка'льциев	ка'льциям	ка'льции	ка'льциями	ка'льциях
шип	шип	thorn, tenon, pin, dowel, calk, spike, crampon, hissing sound	Dom, Stachel, Dorn, Zapfen			0	0	0	0	ши'п	ши'па	ши'пу	ши'п	ши'пом	ши'пе	ши'пы	ши'пов	ши'пам	ши'пы	ши'пами	ши'пах
стервятник	стервя'тник	Egyptian vulture, carrion crow	Geier, Aasgeier; Aasgeier	m		1	0	0	0	стервя'тник	стервя'тника	стервя'тнику	стервя'тника	стервя'тником	стервя'тнике	стервя'тники	стервя'тников	стервя'тникам	стервя'тников	стервя'тниками	стервя'тниках
медпункт	медпу'нкт	first-aid post, surgery, aid post, aid station	Rotkreuzraum, Sanitätsraum, Rettungsstelle, Verbandsplatz	m		0	0	0	0	медпу'нкт	медпу'нкта	медпу'нкту	медпу'нкт	медпу'нктом	медпу'нкте	медпу'нкты	медпу'нктов	медпу'нктам	медпу'нкты	медпу'нктами	медпу'нктах
эскиз	эски'з	sketch, study, cartoon, draft, outline	Skizze, Entwurf	m		0	0	0	0	эски'з	эски'за	эски'зу	эски'з	эски'зом	эски'зе	эски'зы	эски'зов	эски'зам	эски'зы	эски'зами	эски'зах
посев	посе'в	sowing, crops	Saat, Aussaat	m		0	0	0	0	посе'в	посе'ва	посе'ву	посе'в	посе'вом	посе'ве	посе'вы	посе'вов	посе'вам	посе'вы	посе'вами	посе'вах
лоно	ло'но	bosom, lap	Busen der Natur, Schoß, Zuflucht	n		0	0	0	0	ло'но	ло'на	ло'ну	ло'но	ло'ном	ло'не	ло'на	ло'н	ло'нам	ло'на	ло'нами	ло'нах
газик	га'зик	a GAZ car	Jeep, Kübelwagen	m		0	0	0	0	га'зик	га'зика	га'зику	га'зик	га'зиком	га'зике	га'зики	га'зиков	га'зикам	га'зики	га'зиками	га'зиках
чижик	чи'жик	tip-cat	Schleuderstab, Wurfpfeil; Zeisig			1	0	0	0	чи'жик	чи'жика	чи'жику	чи'жика	чи'жиком	чи'жике	чи'жики	чи'жиков	чи'жикам	чи'жиков	чи'жиками	чи'жиках
жжение	жже'ние	burning, burning pain	Brennen			0	0	0	0	жже'ние	жже'ния	жже'нию	жже'ние	жже'нием	жже'нии	жже'ния	жже'ний	жже'ниям	жже'ния	жже'ниями	жже'ниях
финиш	фи'ниш	finish, winning post	Ziel, Zielanlauf, Endspurt	m		0	0	0	0	фи'ниш	фи'ниша	фи'нишу	фи'ниш	фи'нишем	фи'нише	фи'ниши	фи'нишей	фи'нишам	фи'ниши	фи'нишами	фи'нишах
клякса	кля'кса	blot	Kleks	f		0	0	0	0	кля'кса	кля'ксы	кля'ксе	кля'ксу	кля'ксой	кля'ксе	кля'ксы	клякс	кля'ксам	кля'ксы	кля'ксами	кля'ксах
служанка	служа'нка	servant, maidservant, housemaid	Hausmädchen, Dienerin, Dienstmädchen, Magd	f	слуга	1	0	0	0	служа'нка	служа'нки	служа'нке	служа'нку	служа'нкой, служа'нкою	служа'нке	служа'нки	служа'нок	служа'нкам	служа'нок	служа'нками	служа'нках
скафандр	скафа'ндр	diving-dress, diving-suit, spacesuit, environmental suit	Raumanzug, Taucheranzug	m		0	0	0	0	скафа'ндр	скафа'ндра	скафа'ндру	скафа'ндр	скафа'ндром	скафа'ндре	скафа'ндры	скафа'ндров	скафа'ндрам	скафа'ндры	скафа'ндрами	скафа'ндрах
прадед	пра'дед	great-grandfather, ancestors, forefathers	Uropa, Urgroßvater	m	прабабушка	1	0	0	0	пра'дед	пра'деда	пра'деду	пра'деда	пра'дедом	пра'деде	пра'деды	пра'дедов	пра'дедам	пра'дедов	пра'дедами	пра'дедах
параша	пара'ша		Lokus, Latrine	m		0	0	0	0	пара'ша	пара'ши	пара'ше	пара'шу	пара'шей, пара'шею	пара'ше	пара'ши	пара'ш	пара'шам	пара'ши	пара'шами	пара'шах
аптечка	апте'чка	medicine chest	Erste-Hilfe-Ausrüstung; Bordwerkzeug	f		0	0	0	0	апте'чка	апте'чки	апте'чке	апте'чку	апте'чкой	апте'чке	апте'чки	апте'чек	апте'чкам	апте'чки	апте'чками	апте'чках
психушка	психу'шка		Psychiatriee, Irrenanstalt, Klapsmühle, Klapse	f		0	0	0	0	психу'шка	психу'шки	психу'шке	психу'шку	психу'шкой, психу'шкою	психу'шке	психу'шки	психу'шек	психу'шкам	психу'шки	психу'шками	психу'шках
гоблин	го'блин		Kobold	m		1	0	0	0	го'блин	го'блина	го'блину	го'блина	го'блином	го'блине	го'блины	го'блинов	го'блинам	го'блинов	го'блинами	го'блинах
ленинизм	ленини'зм		Leninismus	m		0	0	1	0	ленини'зм	ленини'зма	ленини'зму	ленини'зм	ленини'змом	ленини'зме						
кровля	кро'вля	roof, roofing	Dach, Dachhaut, Abdeckung	f		0	0	0	0	кро'вля	кро'вли	кро'вле	кро'влю	кро'влей	кро'вле	кро'вли	кро'вель	кро'влям	кро'вли	кро'влями	кро'влях
идиотизм	идиоти'зм	idiocy, imbecility	Idiotie, Blödsinn, Krampf	m		0	0	0	0	идиоти'зм	идиоти'зма	идиоти'зму	идиоти'зм	идиоти'змом	идиоти'зме	идиоти'змы	идиоти'змов	идиоти'змам	идиоти'змы	идиоти'змами	идиоти'змах
стабилизация	стабилиза'ция	stabilization	Stabilisierung	f		0	0	0	0	стабилиза'ция	стабилиза'ции	стабилиза'ции	стабилиза'цию	стабилиза'цией	стабилиза'ции	стабилиза'ции	стабилиза'ций	стабилиза'циям	стабилиза'ции	стабилиза'циями	стабилиза'циях
секретность	секре'тность	secrecy	Geheimhaltung, Sicherheitsstufe, Vertraulichkeit	f		0	0	0	0	секре'тность	секре'тности	секре'тности	секре'тность	секре'тностью	секре'тности	секре'тности	секре'тностей	секре'тностям	секре'тности	секре'тностями	секре'тностях
переселенец	переселе'нец	migrant, migrator, settler, immigrant	Einwanderer, Vertriebener, Flüchtling, Ansiedler	m		1	0	0	0	переселенец	переселенца	переселенцу	переселенца	переселенцем	переселенце	переселенцы	переселенцев	переселенцам	переселенцев	переселенцами	переселенцах
бюрократ	бюрокра'т	bureaucrat, red-tapist, pedant	Bürokrat	m		1	0	0	0	бюрокра'т	бюрокра'та	бюрокра'ту	бюрокра'та	бюрокра'том	бюрокра'те	бюрокра'ты	бюрокра'тов	бюрокра'там	бюрокра'тов	бюрокра'тами	бюрокра'тах
ска	ска		SKA (Спортивный клуб армии)				0	1	0	ска	ска	ска	ска	ска	ска						
колонист	колони'ст	colonist, settler	Kolonist, Sträfling	m		1	0	0	0	колони'ст	колони'ста	колони'сту	колони'ста	колони'стом	колони'сте	колони'сты	колони'стов	колони'стам	колони'стов	колони'стами	колони'стах
обмотка	обмо'тка	winding	Gamaschen, Wicklung, Umwicklung, Umschnürung	f		0	0	0	0	обмо'тка	обмо'тки	обмо'тке	обмо'тку	обмо'ткой, обмо'ткою	обмо'тке	обмо'тки	обмо'ток	обмо'ткам	обмо'тки	обмо'тками	обмо'тках
этика	э'тика	ethics	Ethik	f		0	0	0	0	э'тика	э'тики	э'тике	э'тику	э'тикой, э'тикою	э'тике	э'тики	э'тик	э'тикам	э'тики	э'тиками	э'тиках
анархист	анархи'ст	anarchist	Anarchist	m		1	0	0	0	анархи'ст	анархи'ста	анархи'сту	анархи'ста	анархи'стом	анархи'сте	анархи'сты	анархи'стов	анархи'стам	анархи'стов	анархи'стами	анархи'стах
тактика	та'ктика	tactics	Taktik	f		0	0	0	0	та'ктика	та'ктики	та'ктике	та'ктику	та'ктикой, та'ктикою	та'ктике	та'ктики	та'ктик	та'ктикам	та'ктики	та'ктиками	та'ктиках
привкус	при'вкус	smack, touch, after-taste; taste, odor	Beigeschmack, Nächgeschmack	m		0	0	0	0	при'вкус	при'вкуса	при'вкусу	при'вкус	при'вкусом	при'вкусе	при'вкусы	при'вкусов	при'вкусам	при'вкусы	при'вкусами	при'вкусах
кирка	кирка'	Protestant church, pick	Spitzhacke, Beilhacke; Pickel, Picke				0	0	0	кирка'	кирки'	кирке'	кирку'	кирко'й,  кирко'ю	кирке'	ки'рки	ки'рок	ки'ркам	ки'рки	ки'рками	ки'рках
расставание	расстава'ние	parting, separation, break-up	Abschied; Trennung	n		0	0	0	0	расстава'ние	расстава'ния	расстава'нию	расстава'ние	расстава'нием	расстава'нии	расстава'ния	расстава'ний	расстава'ниям	расстава'ния	расстава'ниями	расстава'ниях
молекула	моле'кула	molecule	Molekül	f		0	0	0	0	моле'кула	моле'кулы	моле'куле	моле'кулу	моле'кулой, моле'кулою	моле'куле	моле'кулы	моле'кул	моле'кулам	моле'кулы	моле'кулами	моле'кулах
поверка	пове'рка	checking up, check-up, verification, roll-call, visiting	Überprüfung, Abgleich, Justierung, Eichung, Kalibrierung	f		0	0	0	0	пове'рка	пове'рки	пове'рке	пове'рку	пове'ркой, пове'ркою	пове'рке	пове'рки	пове'рок	пове'ркам	пове'рки	пове'рками	пове'рках
творог	творо'г	curds, cottage cheese	Quark; Topfen	m		0	0	0	0	творо'г	творога'	творогу'	творо'г	творого'м	твороге'	твороги'	творого'в	творога'м	твороги'	творога'ми	творога'х
зебра	зе'бра	zebra	Zebra	f		1	0	0	0	зе'бра	зе'бры	зе'бре	зе'бру	зе'брой, зе'брою	зе'бре	зе'бры	зе'бр	зе'брам	зе'бр	зе'брами	зе'брах
законопроект	законопрое'кт	bill, law in draft	Gesetzentwurf	m		0	0	0	0	законопрое'кт	законопрое'кта	законопрое'кту	законопрое'кт	законопрое'ктом	законопрое'кте	законопрое'кты	законопрое'ктов	законопрое'ктам	законопрое'кты	законопрое'ктами	законопрое'ктах
пианист	пиани'ст	pianist	Pianist	m	пианистка	1	0	0	0	пиани'ст	пиани'ста	пиани'сту	пиани'ста	пиани'стом	пиани'сте	пиани'сты	пиани'стов	пиани'стам	пиани'стов	пиани'стами	пиани'стах
тупость	ту'пость	bluntness, dullness, stupidity, vacancy	Stumpfsinn			0	0	0	0	ту'пость	ту'пости	ту'пости	ту'пость	ту'постью	ту'пости	ту'пости	ту'постей	ту'постям	ту'пости	ту'постями	ту'постях
коммуналка	коммуна'лка	communal apartment	Mehrparteienwohnung, Gemeinschaftswohnung; kommunale Serviceleistungen (Wasser usw.)																		
стирка	сти'рка	laundry, wash, laundering	Waschen, Wäsche	f		0	0	0	0	сти'рка	сти'рки	сти'рке	сти'рку	сти'ркой, сти'ркою	сти'рке	сти'рки	сти'рок	сти'ркам	сти'рки	сти'рками	сти'рках
буксир	букси'р	tug, tugboat, tow-boat, tow-line, tow-rope, towage	Schlepper, Schleppfahrzeuge, Zugmaschine, Trecker, Schleppschiff	m		0	0	0	0	букси'р	букси'ра	букси'ру	букси'р	букси'ром	букси'ре	букси'ры	букси'ров	букси'рам	букси'ры	букси'рами	букси'рах
диванчик	дива'нчик		kleines Sofa	m		0	0	0	0	дива'нчик	дива'нчика	дива'нчику	дива'нчик	дива'нчиком	дива'нчике	дива'нчики	дива'нчиков	дива'нчикам	дива'нчики	дива'нчиками	дива'нчиках
деточка	де'точка		meine Kleine	f		1	0	0	0	де'точка	де'точки	де'точке	де'точку	де'точкой	де'точке	де'точки	де'точек	де'точкам	де'точек	де'точками	де'точках
кило	кило'		Kilo	n		0	1	0	0												
присвоение	присвое'ние	appropriation, awarding, conferment	Aneignung, Verleihung	n		0	0	0	0	присвое'ние	присвое'ния	присвое'нию	присвое'ние	присвое'нием	присвое'нии	присвое'ния	присвое'ний	присвое'ниям	присвое'ния	присвое'ниями	присвое'ниях
старпом	старпо'м		Erster Offzier	m		1	0	0	0	старпо'м	старпо'ма	старпо'му	старпо'ма	старпо'мом	старпо'ме	старпо'мы	старпо'мов	старпо'мам	старпо'мов	старпо'мами	старпо'мах
Таиланд	Таила'нд		Thailand	m		0	0	1	0	Таила'нд	Таила'нда	Таила'нду	Таила'нд	Таила'ндом	Таила'нде						
Стокгольм	Стокго'льм	Stockholm	Stockholm	m		0	0	1	0	Стокго'льм	Стокго'льма	Стокго'льму	Стокго'льм	Стокго'льмом	Стокго'льме						
словесность	слове'сность	literature, philology	Literatur	f		0	0	0	0	слове'сность	слове'сности	слове'сности	слове'сность	слове'сностью	слове'сности	слове'сности	слове'сностей	слове'сностям	слове'сности	слове'сностями	слове'сностях
селезёнка	селезёнка	spleen	Milz	f		0	0	0	0	селезёнка	селезёнки	селезёнке	селезёнку	селезёнкой, селезёнкою	селезёнке	селезёнки	селезёнок	селезёнкам	селезёнки	селезёнками	селезёнках
служение	служе'ние	service	Dienst	n		0	0	0	0	служе'ние	служе'ния	служе'нию	служе'ние	служе'нием	служе'нии	служе'ния	служе'ний	служе'ниям	служе'ния	служе'ниями	служе'ниях
камчатка	камча'тка		Kamtschatka (Halbinsel); (irgendwo) weiter hinten / weiter weg, hintere Sitzreihen, Sitzenbleiberbank (Eselsbank)			0	0	0	0	камча'тка	камча'тки	камча'тке	камча'тку	камча'ткой, камча'ткою	камча'тке	камча'тки	камча'ток	камча'ткам	камча'тки	камча'тками	камча'тках
цензор	це'нзор	censor	Zensor	m		1	0	0	0	це'нзор	це'нзора	це'нзору	це'нзора	це'нзором	це'нзоре	це'нзоры	це'нзоров	це'нзорам	це'нзоров	це'нзорами	це'нзорах
сигаретка	сигаре'тка	cigarette	Zigarillo			0	0	0	0	сигаре'тка	сигаре'тки	сигаре'тке	сигаре'тку	сигаре'ткой, сигаре'ткою	сигаре'тке	сигаре'тки	сигаре'ток	сигаре'ткам	сигаре'тки	сигаре'тками	сигаре'тках
чело	чело'	brow	Stirn; gemauertes Ofenloch	n		0	0	0	0	чело'	чела'	челу'	чело'	чело'м	челе'	че'ла	че'л	че'лам	че'ла	че'лами	че'лах
жижа	жи'жа	liquid part of soup, slush	Brühe, Suppe, Jauche	f		0	0	0	0	жи'жа	жи'жи	жи'же	жи'жу	жи'жей, жи'жею	жи'же	жи'жи	жи'ж	жи'жам	жи'жи	жи'жами	жи'жах
фантаст	фанта'ст	fantast, visionary	Phantast, Träumer, Science-Fiction-Autor																		
просека	про'сека	opening, cutting	Durchhieb, Schneise			0	0	0	0	про'сека	про'секи	про'секе	про'секу	про'секой, про'секою	про'секе	про'секи	про'сек	про'секам	про'секи	про'секами	про'секах
адаптация	адапта'ция	adaptation	Anpassung, Adaption	f		0	0	1	0	адапта'ция	адапта'ции	адапта'ции	адапта'цию	адапта'цией,  адапта'циею	адапта'ции						
фойе	фойе'	foyer, crush-room	Foyer	n		0	1	0	0												
сбережение	сбереже'ние	savings, economy	Ersparnis	n		0	0	0	0	сбереже'ние	сбереже'ния	сбереже'нию	сбереже'ние	сбереже'нием	сбереже'нии	сбереже'ния	сбереже'ний	сбереже'ниям	сбереже'ния	сбереже'ниями	сбереже'ниях
печёнка	печёнка	liver	Leber	f		0	0	0	0	печёнка	печёнки	печёнке	печёнку	печёнкой, печёнкою	печёнке	печёнки	печёнок	печёнкам	печёнки	печёнками	печёнках
контраст	контра'ст	contrast	Kontrast, Gegensatz	m		0	0	0	0	контра'ст	контра'ста	контра'сту	контра'ст	контра'стом	контра'сте	контра'сты	контра'стов	контра'стам	контра'сты	контра'стами	контра'стах
растительность	расти'тельность	vegetation, verdure, hair	Pflanzenweh, Vegetation, Behaarung, Haarwuchs	f		0	0	1	0	расти'тельность	расти'тельности	расти'тельности	расти'тельность	расти'тельностью	расти'тельности						
аспирантура	аспиранту'ра	graduate study, graduate course, graduate students	Aspirantur	f		0	0	0	0	аспиранту'ра	аспиранту'ры	аспиранту'ре	аспиранту'ру	аспиранту'рой, аспиранту'рою	аспиранту'ре	аспиранту'ры	аспиранту'р	аспиранту'рам	аспиранту'ры	аспиранту'рами	аспиранту'рах
избежание	избежа'ние	avoidance	Vermeidung	n		0	0	0	0	избежа'ние	избежа'ния	избежа'нию	избежа'ние	избежа'нием	избежа'нии	избежа'ния	избежа'ний	избежа'ниям	избежа'ния	избежа'ниями	избежа'ниях
рулетка	руле'тка	tape-measure, tape-line, roulette	Roulette	f		0	0	0	0	руле'тка	руле'тки	руле'тке	руле'тку	руле'ткой, руле'ткою	руле'тке	руле'тки	руле'ток	руле'ткам	руле'тки	руле'тками	руле'тках
коряга	коря'га	snag	Baumstumpf			0	0	0	0	коря'га	коря'ги	коря'ге	коря'гу	коря'гой, коря'гою	коря'ге	коря'ги	коря'г	коря'гам	коря'ги	коря'гами	коря'гах
макет	маке'т	model, mock-up, dummy, scale model	Modell	m		0	0	0	0	маке'т	маке'та	маке'ту	маке'т	маке'том	маке'те	маке'ты	маке'тов	маке'там	маке'ты	маке'тами	маке'тах
шутник	шутни'к	wag, joker, jester; prankster	Spaßmacher, Spaßvogel	m	шутница	1	0	0	0	шутни'к	шутника'	шутнику'	шутника'	шутнико'м	шутнике'	шутники'	шутнико'в	шутника'м	шутнико'в	шутника'ми	шутника'х
охлаждение	охлажде'ние	cooling, coolness	Kühlung	n		0	0	1	0	охлажде'ние	охлажде'ния	охлажде'нию	охлажде'ние	охлажде'нием	охлажде'нии						
киль	киль	keel, fin	Kiel	m		0	0	0	0	ки'ль	ки'ля	ки'лю	ки'ль	ки'лем	ки'ле	ки'ли	ки'лей	ки'лям	ки'ли	ки'лями	ки'лях
сморчок	сморчо'к	morel, shrimp	Morchel			0	0	0	0	сморчо'к	сморчка'	сморчку'	сморчо'к	сморчко'м	сморчке'	сморчки'	сморчко'в	сморчка'м	сморчки'	сморчка'ми	сморчка'х
заинтересованность	заинтересо'ванность	interest	Interesse, Interessiertheit	f		0	0	0	0	заинтересо'ванность	заинтересо'ванности	заинтересо'ванности	заинтересо'ванность	заинтересо'ванностью	заинтересо'ванности	заинтересо'ванности	заинтересо'ванностей	заинтересо'ванностям	заинтересо'ванности	заинтересо'ванностями	заинтересо'ванностях
