bare	accented	translations_en	translations_de	gender	partner	animate	indeclinable	sg_only	pl_only	sg_nom	sg_gen	sg_dat	sg_acc	sg_inst	sg_prep	pl_nom	pl_gen	pl_dat	pl_acc	pl_inst	pl_prep
лесозаготовки	лесозагото'вки	State timber purchasing, logging	Holzerzeugnisse; Holzgewinnung, Holzindustrie, Holzfällen und Holzaufbereitung, Holzbeschaffung, Holzbereitstellung	f			0	0	1												
лесомелиорация	лесомелиора'ция	forest amelioration	Forstmelioration	f		0	0	1	0	лесомелиора'ция	лесомелиора'ции	лесомелиора'ции	лесомелиора'цию	лесомелиора'цией,  лесомелиора'циею	лесомелиора'ции						
лесонасаждение	лесонасажде'ние	afforestation, forest-plantation forest-plantation	Waldanpflanzung, Aufforstung	n		0	0	0	0	лесонасажде'ние	лесонасажде'ния	лесонасажде'нию	лесонасажде'ние	лесонасажде'нием	лесонасажде'нии	лесонасажде'ния	лесонасажде'ний	лесонасажде'ниям	лесонасажде'ния	лесонасажде'ниями	лесонасажде'ниях
лесопарк	лесопа'рк	forest-park	Waldpark	m		0	0	0	0	лесопа'рк	лесопа'рка	лесопа'рку	лесопа'рк	лесопа'рком	лесопа'рке	лесопа'рки	лесопа'рков	лесопа'ркам	лесопа'рки	лесопа'рками	лесопа'рках
лесопитомник	лесопито'мник	nursery forest, arboretum	Schonung	m		0	0	0	0	лесопито'мник	лесопито'мника	лесопито'мнику	лесопито'мник	лесопито'мником	лесопито'мнике	лесопито'мники	лесопито'мников	лесопито'мникам	лесопито'мники	лесопито'мниками	лесопито'мниках
лесополоса	лесополоса'	woodland belt, forest belt	Waldstreifen	f		0	0	0	0	лесополоса'	лесополосы'	лесополосе'	лесополосу'	лесополосо'й, лесополосо'ю	лесополосе'	ле'сополосы	лесополо'с	лесополоса'м	ле'сополосы	лесополоса'ми	лесополоса'х
лесопосадки	лесопоса'дки	forest-plantations	Waldanpflanzung, Aufforstung, Aufforstungsarbeiten; neu gepflanzter Wald, Schonung; Schonung																		
лесопромышленник	лесопромы'шленник	timber-merchant	Unternehmer └ in der Holzgewinnung / in der Forstwirtschaft┘, Sägewerkbesitzer; Arbeiter in der Holzindustrie	m		1	0	0	0	лесопромы'шленник	лесопромы'шленника	лесопромы'шленнику	лесопромы'шленника	лесопромы'шленником	лесопромы'шленнике	лесопромы'шленники	лесопромы'шленников	лесопромы'шленникам	лесопромы'шленников	лесопромы'шленниками	лесопромы'шленниках
лесопромышленность	лесопромы'шленность	timber industry	Holzindustrie			0	0	1	0	лесопромы'шленность	лесопромы'шленности	лесопромы'шленности	лесопромы'шленность	лесопромы'шленностью	лесопромы'шленности						
лесоразработки	лесоразрабо'тки	logging area	Einschlagsort zur Waldverjüngung			0	0	0	1							лесоразрабо'тки	лесоразрабо'ток	лесоразрабо'ткам	лесоразрабо'тки	лесоразрабо'тками	лесоразрабо'тках
лесосплав	лесоспла'в	timber-rafting	Flößerei	m		0	0	0	0	лесоспла'в	лесоспла'ва	лесоспла'ву	лесоспла'в	лесоспла'вом	лесоспла'ве	лесоспла'вы	лесоспла'вов	лесоспла'вам	лесоспла'вы	лесоспла'вами	лесоспла'вах
лесостепь	лесосте'пь	forest-steppe	Waldsteppe	f		0	0	0	0	лесосте'пь	лесосте'пи	лесосте'пи	лесосте'пь	лесосте'пью	лесосте'пи	лесосте'пи	лесостепе'й	лесостепя'м	лесосте'пи	лесостепя'ми	лесостепя'х
