bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
затмить	затми'ть	cover, darken, overshadow, eclipse, outshine	in den Schatten stellen, übertreffen	perfective	затмевать	затми'	затми'те	затми'л	затми'ла	затми'ло	затми'ли	затмлю'	затми'шь	затми'т	затми'м	затми'те	затмя'т
наверстать	наверста'ть	make up	nachholen	perfective	навёрстывать	наверста'й	наверста'йте	наверста'л	наверста'ла	наверста'ло	наверста'ли	наверста'ю	наверста'ешь	наверста'ет	наверста'ем	наверста'ете	наверста'ют
рассесться	рассе'сться		sich setzen, Platz nehmen, die Plätze einnehmen	perfective	рассаживаться	расся'дься	расся'дьтесь	рассе'лся	рассе'лась	рассе'лось	рассе'лись	расся'дусь	расся'дешься	расся'дется	расся'демся	расся'детесь	расся'дутся
расступаться	расступа'ться	part	auseinandertreten, zur Seite treten, Platz mächen	imperfective	расступиться	расступа'йся	расступа'йтесь	расступа'лся	расступа'лась	расступа'лось	расступа'лись	расступа'юсь	расступа'ешься	расступа'ется	расступа'емся	расступа'етесь	расступа'ются
всклокочить	всклоко'чить	tousle, dishevel	zerzausen, strubbeln	perfective	всклокочивать	всклоко'чь	всклоко'чьте	всклоко'чил	всклоко'чила	всклоко'чило	всклоко'чили	всклоко'чу	всклоко'чишь	всклоко'чит	всклоко'чим	всклоко'чите	всклоко'чат
вышибать	вышиба'ть	knock out, break in, chuck out, kick out	einschlagen, ausschlagen, aufsprengen	imperfective	вышибить	вышиба'й	вышиба'йте	вышиба'л	вышиба'ла	вышиба'ло	вышиба'ли	вышиба'ю	вышиба'ешь	вышиба'ет	вышиба'ем	вышиба'ете	вышиба'ют
всыпать	всы'пать	pour, thrash	einschütten, einstreuen, tun	perfective	всыпа'ть	всы'пь	всы'пьте	всы'пал	всы'пала	всы'пало	всы'пали	всы'плю	всы'плешь	всы'плет	всы'плем	всы'плете	всы'плют
забавлять	забавля'ть	amuse	amüsieren, Spaß machen	imperfective	позабавить	забавля'й	забавля'йте	забавля'л	забавля'ла	забавля'ло	забавля'ли	забавля'ю	забавля'ешь	забавля'ет	забавля'ем	забавля'ете	забавля'ют
сдавливать	сда'вливать	squeeze	zusammendrücken, abdrücken, abquetschen; zusammenpressen, (aufeinander)pressen	imperfective	сдавить	сда'вливай	сда'вливайте	сда'вливал	сда'вливала	сда'вливало	сда'вливали	сда'вливаю	сда'вливаешь	сда'вливает	сда'вливаем	сда'вливаете	сда'вливают
приглядывать	пригля'дывать	choose, find, look	aufpassen, beobachten, im Auge haben, ein Auge (auf etwas / jemanden) haben; ins Auge fassen, vormerken, aussuchen, ausfindig machen; inspizieren, kontrollieren, in Augenschein nehmen	imperfective	приглядеть	пригля'дывай	пригля'дывайте	пригля'дывал	пригля'дывала	пригля'дывало	пригля'дывали	пригля'дываю	пригля'дываешь	пригля'дывает	пригля'дываем	пригля'дываете	пригля'дывают
перекоситься	перекоси'ться		sich verzerren, sich verziehen	perfective	перекашиваться	перекоси'сь	перекоси'тесь	перекоси'лся	перекоси'лась	перекоси'лось	перекоси'лись	перекошу'сь	перекоси'шься	перекоси'тся	перекоси'мся	перекоси'тесь	перекося'тся
припечатать	припеча'тать		nachdrucken	perfective	припечатывать	припеча'тай	припеча'тайте	припеча'тал	припеча'тала	припеча'тало	припеча'тали	припеча'таю	припеча'таешь	припеча'тает	припеча'таем	припеча'таете	припеча'тают
полечить	полечи'ть	heal, treat	verarzten, heilen	perfective	лечи́ть	полечи'	полечи'те	полечи'л	полечи'ла	полечи'ло	полечи'ли	полечу'	поле'чишь	поле'чит	поле'чим	поле'чите	поле'чат
фильтровать	фильтрова'ть	filter	filtern, filtrieren, abfiltern; überprüfen, nach Wichtigkeit trennen	imperfective	отфильтровать												
испустить	испусти'ть	emit, let out, exhale, utter	ausstrahlen, ausstoßen, absondern, verbreiten, verströmen, von sich geben	perfective	испускать	испусти'	испусти'те	испусти'л	испусти'ла	испусти'ло	испусти'ли	испущу'	испу'стишь	испу'стит	испу'стим	испу'стите	испу'стят
выдуть	вы'дуть	blow out, blow	herausblasen, ausblasen, anblasen; blasen (Glas, ein Instrument etc.); wegblasen (auch fig.: viel trinken, aussaufen etc.)	perfective	выдувать	вы'дуй	вы'дуйте	вы'дул	вы'дула	вы'дуло	вы'дули	вы'дую	вы'дуешь	вы'дует	вы'дуем	вы'дуете	вы'дуют
словить	слови'ть	catch, grip, grasp	fangen, erbeuten	perfective	-	слови'	слови'те	слови'л	слови'ла	слови'ло	слови'ли	словлю'	сло'вишь	сло'вит	сло'вим	сло'вите	сло'вят
оплачиваться	оплачиваться		bezahlt werden	imperfective	-												
усидеть	усиде'ть	remain sitting, eat up, knock back	verputzen, verschlingen; ruhig sitzen, sitzenbleiben	perfective	усиживать	усиди'	усиди'те	усиде'л	усиде'ла	усиде'ло	усиде'ли	усижу'	усиди'шь	усиди'т	усиди'м	усиди'те	усидя'т
упразднить	упраздни'ть	abolish	aufheben, abschaffen, annullieren	perfective	упразднять	упраздни'	упраздни'те	упраздни'л	упраздни'ла	упраздни'ло	упраздни'ли	упраздню'	упраздни'шь	упраздни'т	упраздни'м	упраздни'те	упраздня'т
дорасти	дорасти'	grow, be old enough	auswachsen, ein bestimmtes Alter erreichen	perfective	дорастать	дорасти'	дорасти'те	доро'с	доросла'	доросло'	доросли'	дорасту'	дорастёшь	дорастёт	дорастём	дорастёте	дорасту'т
утыкать	уты'кать	set	spicken, vollstecken	perfective	утыка'ть	уты'кай	уты'кайте	уты'кал	уты'кала	уты'кало	уты'кали	уты'каю	уты'каешь	уты'кает	уты'каем	уты'каете	уты'кают
морить	мори'ть	eliminate	schmoren, dünsten, garen; quälen, peinigen, foltern; vergiften, ausrotten; beizen	imperfective	заморить	мори'	мори'те	мори'л	мори'ла	мори'ло	мори'ли	морю'	мори'шь	мори'т	мори'м	мори'те	моря'т
добавиться	доба'виться		teilnehmen, sich anschließen, teilen, mitmachen; hinzukommen, ergänzt werden	perfective	добавляться	доба'вься	доба'вьтесь	доба'вился	доба'вилась	доба'вилось	доба'вились	доба'влюсь	доба'вишься	доба'вится	доба'вимся	доба'витесь	доба'вятся
спрячь	спрячь		zusammenspannen, zusammenschirren	perfective	спрягать	спряги'	спряги'те	спря'г	спрягла'	спрягло'	спрягли'	спрягу'	спряжёшь	спряжёт	спряжём	спряжёте	спрягу'т
заваливать	зава'ливать	heap up, fill up, block up, fill cram-full, bury, overload, tumble	verpfeifen, anschwärzen; hineingeschneit kommen, aus heiterm Himmel vor der Tür stehen; in den Sand setzen, verhauen, versagen, durchfallen; verschütten, zuschütten; umlegen, kaltmachen, killen	imperfective	завалить	зава'ливай	зава'ливайте	зава'ливал	зава'ливала	зава'ливало	зава'ливали	зава'ливаю	зава'ливаешь	зава'ливает	зава'ливаем	зава'ливаете	зава'ливают
соседствовать	сосе'дствовать	Adjacent	angrenzen, grenzen	imperfective	-	сосе'дствуй	сосе'дствуйте	сосе'дствовал	сосе'дствовала	сосе'дствовало	сосе'дствовали	сосе'дствую	сосе'дствуешь	сосе'дствует	сосе'дствуем	сосе'дствуете	сосе'дствуют
закреплять	закрепля'ть	fasten, secure, anchor, make fast, reeve, consolidate, allot, appoint, fix	befestigen	imperfective	закрепить	закрепля'й	закрепля'йте	закрепля'л	закрепля'ла	закрепля'ло	закрепля'ли	закрепля'ю	закрепля'ешь	закрепля'ет	закрепля'ем	закрепля'ете	закрепля'ют
уготовать	угото'вать		vorbereiten, herrichten	perfective	уготавливать	угото'вай	угото'вайте	угото'вал	угото'вала	угото'вало	угото'вали	угото'ваю	угото'ваешь	угото'вает	угото'ваем	угото'ваете	угото'вают
окрашивать	окра'шивать	tincture, paint, dye	färben, anstreichen	imperfective	окрасить	окра'шивай	окра'шивайте	окра'шивал	окра'шивала	окра'шивало	окра'шивали	окра'шиваю	окра'шиваешь	окра'шивает	окра'шиваем	окра'шиваете	окра'шивают
отпираться	отпира'ться	come unlocked, deny, disown	leugnen, abstreiten	imperfective	отпереться	отпира'йся	отпира'йтесь	отпира'лся	отпира'лась	отпира'лось	отпира'лись	отпира'юсь	отпира'ешься	отпира'ется	отпира'емся	отпира'етесь	отпира'ются
сдружиться	сдружи'ться	become friends	sich befreunden	perfective	сдруживаться	сдружи'сь	сдружи'тесь	сдружи'лся	сдружи'лась	сдружи'лось	сдружи'лись	сдружу'сь	сдру'жишься	сдру'жится	сдру'жимся	сдру'житесь	сдру'жатся
вильнуть	вильну'ть	wag, glide away, turn off sharply, side-track, prevaricate, be evasive	sich └ schlängeln / winden / krümmen┘; wedeln, hin und her bewegen; auf dem Bauch kriechen	perfective	вилять	вильни'	вильни'те	вильну'л	вильну'ла	вильну'ло	вильну'ли	вильну'	вильнёшь	вильнёт	вильнём	вильнёте	вильну'т
реять	ре'ять	soar, hover, sail, stream, fly	schweben, wehen, flattern	imperfective	ринуть	ре'й	ре'йте	ре'ял	ре'яла	ре'яло	ре'яли	ре'ю	ре'ешь	ре'ет	ре'ем	ре'ете	ре'ют
предохранять	предохраня'ть	protect, preserve	schützen, verhüten, vorbeugen	imperfective	предохранить	предохраня'й	предохраня'йте	предохраня'л	предохраня'ла	предохраня'ло	предохраня'ли	предохраня'ю	предохраня'ешь	предохраня'ет	предохраня'ем	предохраня'ете	предохраня'ют
тараторить	таратори'ть	chatter, jabber, gabble	plappern, schnattern, pausenlos reden	imperfective	-	тарато'рь	тарато'рьте	таратори'л	таратори'ла	таратори'ло	таратори'ли	тарато'рю	тарато'ришь	тарато'рит	тарато'рим	тарато'рите	тарато'рят
полечь	поле'чь	lie down, fall, be killed, lie flat, be beaten down	fallen, sterben; abknicken	perfective	полегать	поля'г	поля'гте	полёг	полегла'	полегло'	полегли'	поля'гу	поля'жешь	поля'жет	поля'жем	поля'жете	поля'гут
заскользить	заскользи'ть		anfangen zu rutschen, anfangen zu gleiten	perfective	-	заскользи'	заскользи'те	заскользи'л	заскользи'ла	заскользи'ло	заскользи'ли	заскольжу'	заскользи'шь	заскользи'т	заскользи'м	заскользи'те	заскользя'т
купать	купа'ть	bath, bathe, give a bath	baden	imperfective	искупать,выкупать	купа'й	купа'йте	купа'л	купа'ла	купа'ло	купа'ли	купа'ю	купа'ешь	купа'ет	купа'ем	купа'ете	купа'ют
выплеснуться	вы'плеснуться		herausschwappen	perfective	выплёскиваться	вы'плеснись	вы'плеснитесь	вы'плеснулся	вы'плеснулась	вы'плеснулось	вы'плеснулись	вы'плеснусь	вы'плеснешься	вы'плеснется	вы'плеснемся	вы'плеснетесь	вы'плеснутся
вымазать	вы'мазать	smear, besmear, dirty, soil	einschmieren, beschmieren, beschmutzen	perfective	вымазывать	вы'мажи//вы'мажь	вы'мажьте	вы'мазал	вы'мазала	вы'мазало	вы'мазали	вы'мажу	вы'мажешь	вы'мажет	вы'мажем	вы'мажете	вы'мажут
ограждать	огражда'ть	guard, protect, enclose, fence in	schützen, bewähren	imperfective	оградить	огражда'й	огражда'йте	огражда'л	огражда'ла	огражда'ло	огражда'ли	огражда'ю	огражда'ешь	огражда'ет	огражда'ем	огражда'ете	огражда'ют
вздыбить	взды'бить	rear, raise on its hind legs	aufbäumen, sich auf die Hinterbeine stellen	perfective	вздыбливать	взды'бь	взды'бьте	взды'бил	взды'била	взды'било	взды'били	взды'блю	взды'бишь	взды'бит	взды'бим	взды'бите	взды'бят
перескакивать	переска'кивать	jump over, jump, vault, skip	überspringen, springen	imperfective	перескочить	переска'кивай	переска'кивайте	переска'кивал	переска'кивала	переска'кивало	переска'кивали	переска'киваю	переска'киваешь	переска'кивает	переска'киваем	переска'киваете	переска'кивают
