bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
арестовать	арестова'ть	arrest	verhaften, festnehmen	perfective	арестовывать	аресту'й	аресту'йте	арестова'л	арестова'ла	арестова'ло	арестова'ли	аресту'ю	аресту'ешь	аресту'ет	аресту'ем	аресту'ете	аресту'ют
продолжить	продо'лжить	continue, go on, proceed, keep on, extend, prolong	fortsetzen, weitermachen	perfective	продолжать	продо'лжи	продо'лжите	продо'лжил	продо'лжила	продо'лжило	продо'лжили	продо'лжу	продо'лжишь	продо'лжит	продо'лжим	продо'лжите	продо'лжат
ощутить	ощути'ть	feel, sense, become aware	empfinden, fühlen; spüren, verspüren	perfective	ощущать	ощути'	ощути'те	ощути'л	ощути'ла	ощути'ло	ощути'ли	ощущу'	ощути'шь	ощути'т	ощути'м	ощути'те	ощутя'т
прощать	проща'ть	to forgive, to excuse, to pardon	verzeihen, vergeben	imperfective	простить	проща'й	проща'йте	проща'л	проща'ла	проща'ло	проща'ли	проща'ю	проща'ешь	проща'ет	проща'ем	проща'ете	проща'ют
посвятить	посвяти'ть	devote, dedicate, let, initiate, ordain, consecrate	widmen, einweihen, einführen	perfective	посвящать	посвяти'	посвяти'те	посвяти'л	посвяти'ла	посвяти'ло	посвяти'ли	посвящу'	посвяти'шь	посвяти'т	посвяти'м	посвяти'те	посвятя'т
представляться	представля'ться	present itself, arise, occur; seem; introduce oneself	sich vorstellen; entstehen, sich ergeben; scheinen, erscheinen; vorgeben, sich für etwas ausgeben	imperfective	представиться	представля'йся	представля'йтесь	представля'лся	представля'лась	представля'лось	представля'лись	представля'юсь	представля'ешься	представля'ется	представля'емся	представля'етесь	представля'ются
потянуться	потяну'ться	reached	sich dehnen, sich recken; (sich) ausstrecken	perfective	тянуться,потягиваться	потяни'сь	потяни'тесь	потяну'лся	потяну'лась	потяну'лось	потяну'лись	потяну'сь	потя'нешься	потя'нется	потя'немся	потя'нетесь	потя'нутся
выпускать	выпуска'ть	let out, release, set free; to graduate; putting out, turning out	hinauslassen, herauslassen, herstellen, produzieren, liefern, herausgeben, ausbilden, auslassen, freilassen, entlassen	imperfective	выпустить	выпуска'й	выпуска'йте	выпуска'л	выпуска'ла	выпуска'ло	выпуска'ли	выпуска'ю	выпуска'ешь	выпуска'ет	выпуска'ем	выпуска'ете	выпуска'ют
побывать	побыва'ть	be somewhere, make an official visit as an official, visit as a tourist	irgendwo sein, einen Ort, Land, etc besuchen, aufsuchen	perfective	бывать	побыва'й	побыва'йте	побыва'л	побыва'ла	побыва'ло	побыва'ли	побыва'ю	побыва'ешь	побыва'ет	побыва'ем	побыва'ете	побыва'ют
уставиться	уста'виться	stare	anstarren; passen, hinpassen, hingehen, Platz finden; sich aufbauen, sich aufstellen; vollgestellt werden	perfective	уставляться	уста'вься	уста'вьтесь	уста'вился	уста'вилась	уста'вилось	уста'вились	уста'влюсь	уста'вишься	уста'вится	уста'вимся	уста'витесь	уста'вятся
беспокоиться	беспоко'иться	worry, trouble, bother	sich sorgen / besorgt sein, sich Sorgen machen	imperfective	побеспокоиться;забеспокоиться;обеспокоиться	беспоко'йся	беспоко'йтесь	беспоко'ился	беспоко'илась	беспоко'илось	беспоко'ились	беспоко'юсь	беспоко'ишься	беспоко'ится	беспоко'имся	беспоко'итесь	беспоко'ятся
махать	маха'ть	wave, wag, flap	winken / zuwinken; schwingen / schwenken	imperfective	махнуть,помахать	маши'	маши'те	маха'л	маха'ла	маха'ло	маха'ли	машу'	ма'шешь	ма'шет	ма'шем	ма'шете	ма'шут
бормотать	бормота'ть	mutter, mumble	murmeln	imperfective	пробормотать	бормочи'	бормочи'те	бормота'л	бормота'ла	бормота'ло	бормота'ли	бормочу'	бормо'чешь	бормо'чет	бормо'чем	бормо'чете	бормо'чут
изучать	изуча'ть	study, learn, examine	erlernen (etw. gründlich lernen), sich aneignen; studieren, erforschen, untersuchen	imperfective	изучить	изуча'й	изуча'йте	изуча'л	изуча'ла	изуча'ло	изуча'ли	изуча'ю	изуча'ешь	изуча'ет	изуча'ем	изуча'ете	изуча'ют
последовать	после'довать	follow	folgen; befolgen; nachfolgen; folgen aus (resultieren); man sollte (demzufolge) ..., es wäre nötig / gebührt sich	perfective	следовать	после'дуй	после'дуйте	после'довал	после'довала	после'довало	после'довали	после'дую	после'дуешь	после'дует	после'дуем	после'дуете	после'дуют
оцениить	оцении'ть	fix the price, state the value, value, estimate, appraise, evaluate	schätzen, bewerten, einschätzen, beurteilen, würdigen, anerkennen	perfective	оценивать	оцении'	оцении'те	оцении'л	оцении'ла	оцении'ло	оцении'ли	оцению'	оце'ниишь	оце'ниит	оце'ниим	оце'ниите	оце'ният
описать	описа'ть	describe, depict, portray, inventory, distrain, circumscribe	beschreiben, schildern	perfective	описывать	опиши'	опиши'те	описа'л	описа'ла	описа'ло	описа'ли	опишу'	опи'шешь	опи'шет	опи'шем	опи'шете	опи'шут
отдохнуть	отдохну'ть	rest, be resting, be on holiday	sich ausruhen; sich erholen	perfective	отдыхать	отдохни'	отдохни'те	отдохну'л	отдохну'ла	отдохну'ло	отдохну'ли	отдохну'	отдохнёшь	отдохнёт	отдохнём	отдохнёте	отдохну'т
развести	развести'	Spread; Light; Cheat	züchten, anbauen, anpflanzen; etw. / jmdn. trennen, scheiden, lösen, verdünnen	perfective	разводить	разведи'	разведи'те	развёл	развела'	развело'	развели'	разведу'	разведёшь	разведёт	разведём	разведёте	разведу'т
заплатить	заплати'ть	pay, give, repay	bezahlen	perfective	платить	заплати'	заплати'те	заплати'л	заплати'ла	заплати'ло	заплати'ли	заплачу'	запла'тишь	запла'тит	запла'тим	запла'тите	запла'тят
доноситься	доноси'ться	reach ears, be heard, waft	klingen	imperfective	донестись	доноси'сь	доноси'тесь	доноси'лся	доноси'лась	доноси'лось	доноси'лись	доношу'сь	доно'сишься	доно'сится	доно'симся	доно'ситесь	доно'сятся
блестеть	блесте'ть	shine, glitter, sparkle	glänzen, blitzen, strahlen, funkeln	imperfective	блеснуть	блести'	блести'те	блесте'л	блесте'ла	блесте'ло	блесте'ли	блещу'	блести'шь	блести'т	блести'м	блести'те	блестя'т
выбросить	вы'бросить	throw out, reject, discard	wegwerfen, (hin)auswerfen, auf den Markt werfen	perfective	выбрасывать	вы'броси//вы'брось	вы'бросьте	вы'бросил	вы'бросила	вы'бросило	вы'бросили	вы'брошу	вы'бросишь	вы'бросит	вы'бросим	вы'бросите	вы'бросят
разбудить	разбуди'ть	wake, awake, awaken, arouse, stir up	wecken, aufwecken	perfective	будить	разбуди'	разбуди'те	разбуди'л	разбуди'ла	разбуди'ло	разбуди'ли	разбужу'	разбу'дишь	разбу'дит	разбу'дим	разбу'дите	разбу'дят
догадываться	дога'дываться	guess, suspect, surmise, conjecture	erraten; ahnen, vermuten	imperfective	догадаться	дога'дывайся	дога'дывайтесь	дога'дывался	дога'дывалась	дога'дывалось	дога'дывались	дога'дываюсь	дога'дываешься	дога'дывается	дога'дываемся	дога'дываетесь	дога'дываются
полагаться	полага'ться	rely, be due	sich verlassen; sich gebühren, sich gehören, einem zustehen	imperfective	положиться	полага'йся	полага'йтесь	полага'лся	полага'лась	полага'лось	полага'лись	полага'юсь	полага'ешься	полага'ется	полага'емся	полага'етесь	полага'ются
биться	би'ться	fight, knock, hit, strike, beat, struggle	sich schlagen, kämpfen, schlagen, klopfen, sich abmühen, sich plagen	imperfective	побиться	бе'йся	бе'йтесь	би'лся	би'лась	би'лось	би'лись	бью'сь	бьёшься	бьётся	бьёмся	бьётесь	бью'тся
защищать	защища'ть	protect	schützen, beschützen; verteidigen	imperfective	защитить	защища'й	защища'йте	защища'л	защища'ла	защища'ло	защища'ли	защища'ю	защища'ешь	защища'ет	защища'ем	защища'ете	защища'ют
содержать	содержа'ть	to contain, to hold; keep, maintain, support	halten (Tiere etc.) / etw. oder jmd. festhalten; enthalten / beinhalten; unterhalten (alimentieren, Maschine warten etc.), versorgen, jemand aushalten	imperfective	-	содержи'	содержи'те	содержа'л	содержа'ла	содержа'ло	содержа'ли	содержу'	соде'ржишь	соде'ржит	соде'ржим	соде'ржите	соде'ржат
печь	печь	bake	backen, brennen / sengen (Sonne)	imperfective	испечь,спечь	пеки'	пеки'те	пёк	пекла'	пекло'	пекли'	пеку'	печёшь	печёт	печём	печёте	пеку'т
поправить	попра'вить	repair, mend, correct, readjust, better, restore	verbessern, korrigieren, in Ordnung bringen	perfective	поправлять	попра'вь	попра'вьте	попра'вил	попра'вила	попра'вило	попра'вили	попра'влю	попра'вишь	попра'вит	попра'вим	попра'вите	попра'вят
приглашать	приглаша'ть	invite, ask, call, engage	einladen, auffordern, rufen, kommen lassen	imperfective	пригласить	приглаша'й	приглаша'йте	приглаша'л	приглаша'ла	приглаша'ло	приглаша'ли	приглаша'ю	приглаша'ешь	приглаша'ет	приглаша'ем	приглаша'ете	приглаша'ют
обнять	обня'ть	embrace	umarmen, in die Arme schließen; ergreifen, umfassen	perfective	обнимать	обними'	обними'те	о'бнял,обня'л	обняла'	о'бняло,обня'ло	о'бняли,обня'ли	обниму'	обни'мешь	обни'мет	обни'мем	обни'мете	обни'мут
ошибиться	ошиби'ться	make mistakes, be mistaken, make a mistake, err, be wrong, be at fault	sich irren, sich täuschen	perfective	ошибаться	ошиби'сь	ошиби'тесь	оши'бся	оши'блась	оши'блось	оши'блись	ошибу'сь	ошибёшься	ошибётся	ошибёмся	ошибётесь	ошибу'тся
потянуть	потяну'ть	pull, draw, haul, drag, lay, drawl, drag out, delay, protract, procrastinate, make go, weigh, draw up, squeeze, extort; afford	ziehen; zögern; wiegen, ein Gewicht erreichen	perfective	тянуть	потяни'	потяни'те	потяну'л	потяну'ла	потяну'ло	потяну'ли	потяну'	потя'нешь	потя'нет	потя'нем	потя'нете	потя'нут
интересоваться	интересова'ться	be interested, take an interest, care	sich interessieren, interessiert sein, Interesse haben	imperfective	заинтересоваться,поинтересоваться	интересу'йся	интересу'йтесь	интересова'лся	интересова'лась	интересова'лось	интересова'лись	интересу'юсь	интересу'ешься	интересу'ется	интересу'емся	интересу'етесь	интересу'ются
заключаться	заключа'ться	consist, be, be contained, end, conclude	bestehen; sich einschliessen	imperfective	заключиться	заключа'йся	заключа'йтесь	заключа'лся	заключа'лась	заключа'лось	заключа'лись	заключа'юсь	заключа'ешься	заключа'ется	заключа'емся	заключа'етесь	заключа'ются
сорвать	сорва'ть	tear away, tear down, tear off, pick, pluck, vent, wreck, spoil, frustrate, bring to naught, level to the ground, raze	abreißen, herunterreißen, pflücken; vereiteln, sabotieren, sprengen, zum Scheitern bringen	perfective	срывать	сорви'	сорви'те	сорва'л	сорвала'	сорва'ло	сорва'ли	сорву'	сорвёшь	сорвёт	сорвём	сорвёте	сорву'т
обойти	обойти'	go around, travel around, get around; evade, circumvent	umgehen / herumgehen, etw. umgehen (vermeiden); überholen (übertrumpfen), den Rang ablaufen	perfective	обходить	обойди'	обойди'те	обошёл	обошла'	обошло'	обошли'	обойду'	обойдёшь	обойдёт	обойдём	обойдёте	обойду'т
расстрелять	расстреля'ть	execute by shooting; destroy by shooting from short distance; shoot away, use up bullets	erschießen	perfective	расстреливать	расстреля'й	расстреля'йте	расстреля'л	расстреля'ла	расстреля'ло	расстреля'ли	расстреля'ю	расстреля'ешь	расстреля'ет	расстреля'ем	расстреля'ете	расстреля'ют
разобрать	разобра'ть	disassemble, dismantle, take to pieces, pull down, demolish, sort out, look, investigate, discuss, parse, analyse, make out, try to make out, read, be fastidious	auseinandernehmen, zerlegen, abbauen; entziffern, verstehen, begreifen, ergründen; analysieren, auswerten; aufkaufen, alles nehmen; ergreifen, packen	perfective	разбирать	разбери'	разбери'те	разобра'л	разобрала'	разобра'ло	разобра'ли	разберу'	разберёшь	разберёт	разберём	разберёте	разберу'т
применять	применя'ть	apply, employ, use, start using, adopt	anwenden, verwenden; einsetzen	imperfective	применить	применя'й	применя'йте	применя'л	применя'ла	применя'ло	применя'ли	применя'ю	применя'ешь	применя'ет	применя'ем	применя'ете	применя'ют
пожалеть	пожале'ть	feel sorry, pity, be sorry, regret, spare, grudge	bedauern, bereuen, bemitleiden; sparen, schonen	perfective	жалеть	пожале'й	пожале'йте	пожале'л	пожале'ла	пожале'ло	пожале'ли	пожале'ю	пожале'ешь	пожале'ет	пожале'ем	пожале'ете	пожале'ют
исключить	исключи'ть	exclude, except, rule out, eliminate, expel, strike off	ausschließen, ausschalten, streichen, exmatrikulieren	perfective	исключать	исключи'	исключи'те	исключи'л	исключи'ла	исключи'ло	исключи'ли	исключу'	исключи'шь	исключи'т	исключи'м	исключи'те	исключа'т
плавать	пла'вать	swim, float, drift, sail, steam, navigate, boat	schwimmen	imperfective	поплавать	пла'вай	пла'вайте	пла'вал	пла'вала	пла'вало	пла'вали	пла'ваю	пла'ваешь	пла'вает	пла'ваем	пла'ваете	пла'вают
сбить	сбить	cause to fall, shake down, put out, knock together, churn, whisk, beat up, whip	abschlagen, herunterschlagen, umwerfen, abschiessen, überrollen; verwirren, in Verwirrung bringen; schlagen, rühren	perfective	сбивать	сбе'й	сбе'йте	сби'л	сби'ла	сби'ло	сби'ли	собью'	собьёшь	собьёт	собьём	собьёте	собью'т
прижать	прижа'ть	press, clasp	drücken	perfective	прижимать	прижми'	прижми'те	прижа'л	прижа'ла	прижа'ло	прижа'ли	прижму'	прижмёшь	прижмёт	прижмём	прижмёте	прижму'т
воспользоваться	воспо'льзоваться	avail oneself, profit, take advantage, appropriate	verwenden, benützen, gebrauchen; besitzen, haben, geniessen	perfective	пользоваться	воспо'льзуйся	воспо'льзуйтесь	воспо'льзовался	воспо'льзовалась	воспо'льзовалось	воспо'льзовались	воспо'льзуюсь	воспо'льзуешься	воспо'льзуется	воспо'льзуемся	воспо'льзуетесь	воспо'льзуются
пробовать	про'бовать	tried to	probieren, versuchen, kosten	imperfective	попробовать	про'буй	про'буйте	про'бовал	про'бовала	про'бовало	про'бовали	про'бую	про'буешь	про'бует	про'буем	про'буете	про'буют
пережить	пережи'ть	survive	erleben; überleben, durchmachen; ertragen, überstehen	perfective	переживать	переживи'	переживи'те	пережи'л,пе'режил	пережила'	пережи'ло,пе'режило	пережи'ли,пе'режили	переживу'	переживёшь	переживёт	переживём	переживёте	переживу'т
допустить	допусти'ть	allow, permit, let; acknowledge, concede, admit; commit, make	zulassen, gestatten, zugeben	perfective	допускать	допусти'	допусти'те	допусти'л	допусти'ла	допусти'ло	допусти'ли	допущу'	допу'стишь	допу'стит	допу'стим	допу'стите	допу'стят
хлопнуть	хло'пнуть	flap	schlagen; sich hinter die Binde giessen	perfective	хлопать	хло'пни	хло'пните	хло'пнул	хло'пнула	хло'пнуло	хло'пнули	хло'пну	хло'пнешь	хло'пнет	хло'пнем	хло'пнете	хло'пнут
раскрыть	раскры'ть	open, expose, reveal, disclose, lay bare, discover	öffnen / aufmachen, aufschlagen; offenbaren / enthüllen, aufdecken, entlarven	perfective	раскрывать	раскро'й	раскро'йте	раскры'л	раскры'ла	раскры'ло	раскры'ли	раскро'ю	раскро'ешь	раскро'ет	раскро'ем	раскро'ете	раскро'ют
класть	класть	lay, put, place	legen, stecken, tun, hintun, unterbringen, deponieren; stapeln (Holz); verbrauchen, verwenden; mauern, eine Mauer errichten, einen Ofen setzen; einen Abdruck machen; auftragen (Farbe usw., Essen auf den Tisch), aufbringen, auflegen; total ignorieren, auf etwas pfeifen; kacken, einen Haufen machen, scheißen, hinscheißen	imperfective	положить;сложить;наложить	клади'	Кладите	клал	клала	клало	клали	кладу'	кладёшь	кладёт	кладём	кладёте	кладу'т
оторвать	оторва'ть	tear off, tear away, rip off	abreißen, losreißen, (ab)trennen; ablenken	perfective	отрывать	оторви'	оторви'те	оторва'л	оторвала'	оторва'ло	оторва'ли	оторву'	оторвёшь	оторвёт	оторвём	оторвёте	оторву'т
слышаться	слы'шаться	be heard, be felt	zu hören sein, ertönen	imperfective	послышаться	слы'шься	слы'шьтесь	слы'шался	слы'шалась	слы'шалось	слы'шались	слы'шусь	слы'шишься	слы'шится	слы'шимся	слы'шитесь	слы'шатся
полететь	полете'ть	start to fly, fall, go headlong	fliegen	perfective	лететь	полети'	полети'те	полете'л	полете'ла	полете'ло	полете'ли	полечу'	полети'шь	полети'т	полети'м	полети'те	полетя'т
приготовить	пригото'вить	prepare, make ready, train, cook, make, lay in, provide oneself, have in store	kochen, zubereiten; vorbereiten	perfective	готовить,приготовлять,приготавливать	пригото'вь	пригото'вьте	пригото'вил	пригото'вила	пригото'вило	пригото'вили	пригото'влю	пригото'вишь	пригото'вит	пригото'вим	пригото'вите	пригото'вят
заплакать	запла'кать	begin to cry	weinen	perfective	плакать	запла'чь	запла'чьте	запла'кал	запла'кала	запла'кало	запла'кали	запла'чу	запла'чешь	запла'чет	запла'чем	запла'чете	запла'чут
указывать	указыва'ть	tell	etw. angeben; hinweisen (auf); zeigen, weisen	imperfective	указать	ука'зывай	ука'зывайте	ука'зывал	ука'зывала	ука'зывало	ука'зывали	ука'зываю	ука'зываешь	ука'зывает	ука'зываем	ука'зываете	ука'зывают
сопровождать	сопровожда'ть	accompany, attend, escort, convoy	begleiten, geleiten; mitgehen; sekundieren (die zweite Stimme intonieren); versehen	imperfective	сопроводить	сопровожда'й	сопровожда'йте	сопровожда'л	сопровожда'ла	сопровожда'ло	сопровожда'ли	сопровожда'ю	сопровожда'ешь	сопровожда'ет	сопровожда'ем	сопровожда'ете	сопровожда'ют
прервать	прерва'ть	interrupt, cut short, break off	unterbrechen, abbrechen, ins Wort fallen	perfective	прерывать	прерви'	прерви'те	прерва'л	прерва'ла	прерва'ло	прерва'ли	прерву'	прервёшь	прервёт	прервём	прервёте	прерву'т
шуметь	шуме'ть	make a noise, be noisy, kick up a row, make a fuss, talk a lot	lärmen, Lärm machen, rauschen, brausen	imperfective	прошуметь,нашуметь,пошуметь	шуми'	шуми'те	шуме'л	шуме'ла	шуме'ло	шуме'ли	шумлю'	шуми'шь	шуми'т	шуми'м	шуми'те	шумя'т
прошептать	прошепта'ть	whisper	flüstern	perfective	шептать	прошепчи'	прошепчи'те	прошепта'л	прошепта'ла	прошепта'ло	прошепта'ли	прошепчу'	проше'пчешь	проше'пчет	проше'пчем	проше'пчете	проше'пчут
течь	течь	flow, stream, leak	fließen, strömen, verrinnen, vergehen, quellen, lecken, auslaufen	imperfective	вытечь,стечь	теки'	теки'те	тёк	текла'	текло'	текли'	теку'	течёшь	течёт	течём	течёте	теку'т
заработать	зарабо'тать	earn	verdienen, in Gang kommen, wieder funktionieren	perfective	зарабатывать	зарабо'тай	зарабо'тайте	зарабо'тал	зарабо'тала	зарабо'тало	зарабо'тали	зарабо'таю	зарабо'таешь	зарабо'тает	зарабо'таем	зарабо'таете	зарабо'тают
украсть	укра'сть	steal, pilfer	stehlen	perfective	красть	укради'	укради'те	укра'л	укра'ла	укра'ло	укра'ли	украду'	украдёшь	украдёт	украдём	украдёте	украду'т
дожидаться	дожида'ться	wait, await	warten, abwarten, erwarten	imperfective	дождаться	дожида'йся	дожида'йтесь	дожида'лся	дожида'лась	дожида'лось	дожида'лись	дожида'юсь	дожида'ешься	дожида'ется	дожида'емся	дожида'етесь	дожида'ются
окружить	окружи'ть	surround, gather round, encircle, ring in, round up	umgeben, umringen, umzingeln, einkesseln	perfective	окружать	окружи'	окружи'те	окружи'л	окружи'ла	окружи'ло	окружи'ли	окружу'	окружи'шь	окружи'т	окружи'м	окружи'те	окружа'т
разглядеть	разгляде'ть	make out, discern, descry, perceive	erkennen, bemerken, mustern, besehen	perfective	разглядывать	разгляди'	разгляди'те	разгляде'л	разгляде'ла	разгляде'ло	разгляде'ли	разгляжу'	разгляди'шь	разгляди'т	разгляди'м	разгляди'те	разглядя'т
достаться	доста'ться	to get	zuteil werden, zukommen zufallen	perfective	доставаться	доста'нься	доста'ньтесь	доста'лся	доста'лась	доста'лось	доста'лись	доста'нусь	доста'нешься	доста'нется	доста'немся	доста'нетесь	доста'нутся
заглядывать	загля'дывать	peep in, glance, look in, drop in, call	vorbeikommen, vorbeischauen, hineingucken	imperfective	заглянуть	загля'дывай	загля'дывайте	загля'дывал	загля'дывала	загля'дывало	загля'дывали	загля'дываю	загля'дываешь	загля'дывает	загля'дываем	загля'дываете	загля'дывают
предпочитать	предпочита'ть	prefer	vorziehen, es für besser halten; bevorzugen	imperfective	предпочесть	предпочита'й	предпочита'йте	предпочита'л	предпочита'ла	предпочита'ло	предпочита'ли	предпочита'ю	предпочита'ешь	предпочита'ет	предпочита'ем	предпочита'ете	предпочита'ют
рваться	рва'ться	break, burst, tear, long, be dying, strain	reißen, verschleißen; nach etwas streben	imperfective	порваться,разорваться,изорваться,сорваться	рви'сь	рви'тесь	рва'лся	рвала'сь	рва'лось//рвало'сь	рва'лись//рвали'сь	рву'сь	рвёшься	рвётся	рвёмся	рвётесь	рву'тся
возражать	возража'ть	object, raise an objection, take exception, return, rejoin, retort	widersprechen, erwidern, entgegnen; einwenden	imperfective	возразить	возража'й	возража'йте	возража'л	возража'ла	возража'ло	возража'ли	возража'ю	возража'ешь	возража'ет	возража'ем	возража'ете	возража'ют
выставить	вы'ставить	put out, stick out, expose; kick out	ausstellen, zur Schau stellen, in Vordergrund rücken; aufstellen (auch: nominieren); hinausstellen (auch: hinauswerfen)	perfective	выставлять	вы'стави//вы'ставь	вы'ставьте	вы'ставил	вы'ставила	вы'ставило	вы'ставили	вы'ставлю	вы'ставишь	вы'ставит	вы'ставим	вы'ставите	вы'ставят
переживать	пережива'ть	be upset, worry; suffer, experience, go through, live through	erleben; überleben; sich beunruhigen, sich Sorgen machen	imperfective	пережить	пережива'й	пережива'йте	пережива'л	пережива'ла	пережива'ло	пережива'ли	пережива'ю	пережива'ешь	пережива'ет	пережива'ем	пережива'ете	пережива'ют
учесть	уче'сть	take into account, take into consideration, bear in mind	berücksichtigen, miteinbeziehen; einkalkulieren, zählen	perfective	учитывать	учти'	учти'те	учёл	учла'	учло'	учли'	учту'	учтёшь	учтёт	учтём	учтёте	учту'т
выразить	вы'разить	express, convey, voice, give voice	ausdrücken, zum Ausdruck bringen; äußern, aussprechen	perfective	выражать	вы'разь	вы'разьте	вы'разил	вы'разила	вы'разило	вы'разили	вы'ражу	вы'разишь	вы'разит	вы'разим	вы'разите	вы'разят
развиваться	развива'ться	develop, untwist, come uncurled, lose its curls	sich entwickeln, sich entfalten	imperfective	развиться	развива'йся	развива'йтесь	развива'лся	развива'лась	развива'лось	развива'лись	развива'юсь	развива'ешься	развива'ется	развива'емся	развива'етесь	развива'ются
подвести	подвести'	υπονομεύει bring, place, let down, do an ill, a bad, turn	im Stich lassen, enttäuschen; führen, herbeiführen, anführen; einordnen, einstufen	perfective	подводить	подведи'	подведи'те	подвёл	подвела'	подвело'	подвели'	подведу'	подведёшь	подведёт	подведём	подведёте	подведу'т
устроиться	устро'иться	get oneself, arrange onself	sich regeln, sich geben, in Ordnung kommen, sich einrichten, es sich bequem machen, unterkommen, Unterkunft finden, untergebracht werden, Unterkommen	perfective	устраиваться	устро'йся	устро'йтесь	устро'ился	устро'илась	устро'илось	устро'ились	устро'юсь	устро'ишься	устро'ится	устро'имся	устро'итесь	устро'ятся
командовать	кома'ндовать	give orders, command, be in command, order about	kommandieren, befehligen, leiten	imperfective	скомандовать	кома'ндуй	кома'ндуйте	кома'ндовал	кома'ндовала	кома'ндовало	кома'ндовали	кома'ндую	кома'ндуешь	кома'ндует	кома'ндуем	кома'ндуете	кома'ндуют
вздрогнуть	вздро'гнуть	start, give a start, flinch, wince, quiver, shudder	zusammenzucken, zusammenfahren, auffahren	perfective	вздрагивать	вздро'гни	вздро'гните	вздро'гнул	вздро'гнула	вздро'гнуло	вздро'гнули	вздро'гну	вздро'гнешь	вздро'гнет	вздро'гнем	вздро'гнете	вздро'гнут
запереть	запере'ть	lock, lock in, close up, bar, block up	abschließen, verschließen	perfective	запирать	запри'	запри'те	за'пер	заперла'	за'перло	за'перли	запру'	запрёшь	запрёт	запрём	запрёте	запру'т
разбираться	разбира'ться	manage, deal, come apart, unpack, investigate, examine, look, understand, gain an understanding, come to know the particulars	sich auskennen	imperfective	разобраться	разбира'йся	разбира'йтесь	разбира'лся	разбира'лась	разбира'лось	разбира'лись	разбира'юсь	разбира'ешься	разбира'ется	разбира'емся	разбира'етесь	разбира'ются
обмануть	обману'ть	deceive, cheat, trick, swindle	betrügen / täuschen (hintergehen), belügen, lügen über etw.; sein Versprechen nicht halten	perfective	обманывать	обмани'	обмани'те	обману'л	обману'ла	обману'ло	обману'ли	обману'	обма'нешь	обма'нет	обма'нем	обма'нете	обма'нут
владеть	владе'ть	own, have, possess, be master be in possession, be able to use, wield	besitzen, beherrschen, in der Gewalt haben	imperfective	завладеть	владе'й	владе'йте	владе'л	владе'ла	владе'ло	владе'ли	владе'ю	владе'ешь	владе'ет	владе'ем	владе'ете	владе'ют
отрезать	отре'зать	cut off, snip off, snap out, cut short	abschneiden, abtrennen, wegnehmen, kürzen; kurz und unwillig antworten; dreschen, verdreschen, vermöbeln, verkloppen; kuscheln, durchstrubbeln	perfective	отрезать	отреза'й	отреза'йте	отреза'л	отреза'ла	отреза'ло	отреза'ли	отреза'ю	отреза'ешь	отреза'ет	отреза'ем	отреза'ете	отреза'ют
родить	роди'ть	give birth, give rise, bear	gebären, zur Welt bringen, entbunden werden, erzeugen, hervorrufen	both	рожать	роди'	роди'те	роди'л	родила'	роди'ло	роди'ли	рожу'	роди'шь	роди'т	роди'м	роди'те	родя'т
рухнуть	ру'хнуть	crash down, tumble down, collapse, be destroyed, fall to the ground	einstürzen / einfallen; zusammenbrechen	perfective	рушиться	ру'хни	ру'хните	ру'хнул	ру'хнула	ру'хнуло	ру'хнули	ру'хну	ру'хнешь	ру'хнет	ру'хнем	ру'хнете	ру'хнут
провожать	провожа'ть	to escort, to accompany; see off, say goodbye	begleiten, bringen	imperfective	проводить	провожа'й	провожа'йте	провожа'л	провожа'ла	провожа'ло	провожа'ли	провожа'ю	провожа'ешь	провожа'ет	провожа'ем	провожа'ете	провожа'ют
осмотреть	осмотре'ть	examine, survey, view, scan, see, inspect	besichtigen, genau betrachten, in Augenschein nehmen; untersuchen (anschauen)	perfective	осматривать	осмотри'	осмотри'те	осмотре'л	осмотре'ла	осмотре'ло	осмотре'ли	осмотрю'	осмо'тришь	осмо'трит	осмо'трим	осмо'трите	осмо'трят
кончаться	конча'ться	end, finish, come to an end	enden, zu Ende gehen, ausgehen, aufhören	imperfective	кончиться	конча'йся	конча'йтесь	конча'лся	конча'лась	конча'лось	конча'лись	конча'юсь	конча'ешься	конча'ется	конча'емся	конча'етесь	конча'ются
уснуть	усну'ть	fall asleep	einschlafen	perfective	-	усни'	усни'те	усну'л	усну'ла	усну'ло	усну'ли	усну'	уснёшь	уснёт	уснём	уснёте	усну'т
оглядеть	огляде'ть	examine, look over	besehen, betrachten, überblicken	perfective	оглядывать	огляди'	огляди'те	огляде'л	огляде'ла	огляде'ло	огляде'ли	огляжу'	огляди'шь	огляди'т	огляди'м	огляди'те	оглядя'т
прятаться	пря'таться	hide, conceal oneself	sich verstecken, sich verbergen	imperfective	спрятаться	пря'чься	пря'чьтесь	пря'тался	пря'талась	пря'талось	пря'тались	пря'чусь	пря'чешься	пря'чется	пря'чемся	пря'четесь	пря'чутся
ранить	ра'нить	injure (hurt)	verwunden; verletzen, kränken	imperfective	поранить	ра'нь	ра'ньте	ра'нил	ра'нила	ра'нило	ра'нили	ра'ню	ра'нишь	ра'нит	ра'ним	ра'ните	ра'нят
